quantidade,sexo,faixaEtaria
2,Feminino,20 a 24 anos
2,Masculino,25 a 29 anos
2,Feminino,25 a 29 anos
7,Masculino,30 a 34 anos
1,Feminino,30 a 34 anos
5,Masculino,35 a 39 anos
3,Feminino,35 a 39 anos
8,Masculino,40 a 44 anos
3,Feminino,40 a 44 anos
10,Masculino,45 a 49 anos
4,Feminino,45 a 49 anos
15,Masculino,50 a 54 anos
6,Feminino,50 a 54 anos
4,Masculino,55 a 59 anos
6,Feminino,55 a 59 anos
12,Masculino,60 a 64 anos
4,Feminino,60 a 64 anos
7,Masculino,65 a 69 anos
7,Feminino,65 a 69 anos
10,Masculino,70 a 74 anos
3,Feminino,70 a 74 anos
4,Masculino,75 a 79 anos
6,Feminino,75 a 79 anos
3,Masculino,80 anos ou mais
13,Feminino,80 anos ou mais
