Data,quantidadeObitos,situacaoComorbidade,descComorbidade
2020-03-24,1,Sim,Diabetes mellitus
2020-03-24,1,Sim,Doença Cardiovascular Crônica
2020-03-24,1,Sim,Outra Pneumopatia Crônica
2020-03-25,3,Sim,Diabetes mellitus
2020-03-25,3,Sim,Doença Cardiovascular Crônica
2020-03-25,1,Sim,Outra Pneumopatia Crônica
2020-03-26,5,Sim,Doença Cardiovascular Crônica
2020-03-26,4,Sim,Diabetes mellitus
2020-03-26,1,Sim,Outra Pneumopatia Crônica
2020-03-27,7,Sim,Doença Cardiovascular Crônica
2020-03-27,4,Sim,Diabetes mellitus
2020-03-27,1,Sim,Outra Pneumopatia Crônica
2020-03-28,9,Sim,Doença Cardiovascular Crônica
2020-03-28,6,Sim,Diabetes mellitus
2020-03-28,2,Sim,Outra Pneumopatia Crônica
2020-03-29,11,Sim,Doença Cardiovascular Crônica
2020-03-29,6,Sim,Diabetes mellitus
2020-03-29,2,Sim,Outra Pneumopatia Crônica
2020-03-29,1,Sim,Doença Neurológica Crônica
2020-03-30,14,Sim,Doença Cardiovascular Crônica
2020-03-30,6,Sim,Diabetes mellitus
2020-03-30,2,Sim,Doença Neurológica Crônica
2020-03-30,2,Sim,Outra Pneumopatia Crônica
2020-03-30,1,Sim,Doença Renal Crônica
2020-03-31,17,Sim,Doença Cardiovascular Crônica
2020-03-31,9,Sim,Diabetes mellitus
2020-03-31,2,Sim,Doença Neurológica Crônica
2020-03-31,2,Sim,Outra Pneumopatia Crônica
2020-03-31,1,Sim,Doença Renal Crônica
2020-04-01,19,Sim,Doença Cardiovascular Crônica
2020-04-01,10,Sim,Diabetes mellitus
2020-04-01,2,Sim,Doença Neurológica Crônica
2020-04-01,2,Sim,Outra Pneumopatia Crônica
2020-04-01,1,Sim,Doença Renal Crônica
2020-04-02,22,Sim,Doença Cardiovascular Crônica
2020-04-02,13,Sim,Diabetes mellitus
2020-04-02,3,Sim,Doença Neurológica Crônica
2020-04-02,3,Sim,Doença Renal Crônica
2020-04-02,2,Sim,Outra Pneumopatia Crônica
2020-04-03,26,Sim,Doença Cardiovascular Crônica
2020-04-03,15,Sim,Diabetes mellitus
2020-04-03,3,Sim,Doença Neurológica Crônica
2020-04-03,3,Sim,Doença Renal Crônica
2020-04-03,3,Sim,Outra Pneumopatia Crônica
2020-04-03,1,Sim,Asma
2020-04-04,29,Sim,Doença Cardiovascular Crônica
2020-04-04,18,Sim,Diabetes mellitus
2020-04-04,6,Sim,Outra Pneumopatia Crônica
2020-04-04,3,Sim,Doença Neurológica Crônica
2020-04-04,3,Sim,Doença Renal Crônica
2020-04-04,2,Sim,Asma
2020-04-04,1,Sim,Doença Hepática Crônica
2020-04-04,1,Sim,Obesidade
2020-04-05,37,Sim,Doença Cardiovascular Crônica
2020-04-05,22,Sim,Diabetes mellitus
2020-04-05,7,Sim,Outra Pneumopatia Crônica
2020-04-05,3,Sim,Doença Neurológica Crônica
2020-04-05,3,Sim,Doença Renal Crônica
2020-04-05,2,Sim,Asma
2020-04-05,1,Sim,Doença Hepática Crônica
2020-04-05,1,Sim,Obesidade
2020-04-06,44,Sim,Doença Cardiovascular Crônica
2020-04-06,26,Sim,Diabetes mellitus
2020-04-06,8,Sim,Outra Pneumopatia Crônica
2020-04-06,4,Sim,Doença Renal Crônica
2020-04-06,3,Sim,Doença Neurológica Crônica
2020-04-06,2,Sim,Asma
2020-04-06,1,Sim,Doença Hematológica Crônica
2020-04-06,1,Sim,Doença Hepática Crônica
2020-04-06,1,Sim,Obesidade
2020-04-07,50,Sim,Doença Cardiovascular Crônica
2020-04-07,30,Sim,Diabetes mellitus
2020-04-07,8,Sim,Outra Pneumopatia Crônica
2020-04-07,6,Sim,Doença Renal Crônica
2020-04-07,4,Sim,Doença Neurológica Crônica
2020-04-07,2,Sim,Asma
2020-04-07,2,Sim,Doença Hematológica Crônica
2020-04-07,2,Sim,Doença Hepática Crônica
2020-04-07,1,Sim,Obesidade
2020-04-08,54,Sim,Doença Cardiovascular Crônica
2020-04-08,34,Sim,Diabetes mellitus
2020-04-08,10,Sim,Outra Pneumopatia Crônica
2020-04-08,6,Sim,Doença Renal Crônica
2020-04-08,5,Sim,Doença Neurológica Crônica
2020-04-08,2,Sim,Asma
2020-04-08,2,Sim,Doença Hematológica Crônica
2020-04-08,2,Sim,Doença Hepática Crônica
2020-04-08,2,Sim,Obesidade
2020-04-09,57,Sim,Doença Cardiovascular Crônica
2020-04-09,37,Sim,Diabetes mellitus
2020-04-09,12,Sim,Outra Pneumopatia Crônica
2020-04-09,7,Sim,Doença Renal Crônica
2020-04-09,6,Sim,Doença Neurológica Crônica
2020-04-09,2,Sim,Asma
2020-04-09,2,Sim,Doença Hematológica Crônica
2020-04-09,2,Sim,Doença Hepática Crônica
2020-04-09,2,Sim,Obesidade
2020-04-10,61,Sim,Doença Cardiovascular Crônica
2020-04-10,40,Sim,Diabetes mellitus
2020-04-10,14,Sim,Outra Pneumopatia Crônica
2020-04-10,7,Sim,Doença Neurológica Crônica
2020-04-10,7,Sim,Doença Renal Crônica
2020-04-10,3,Sim,Asma
2020-04-10,2,Sim,Doença Hematológica Crônica
2020-04-10,2,Sim,Doença Hepática Crônica
2020-04-10,2,Sim,Obesidade
2020-04-10,1,Sim,Imunodeficiência/Imunodepressão
2020-04-11,67,Sim,Doença Cardiovascular Crônica
2020-04-11,44,Sim,Diabetes mellitus
2020-04-11,14,Sim,Outra Pneumopatia Crônica
2020-04-11,8,Sim,Doença Neurológica Crônica
2020-04-11,7,Sim,Doença Renal Crônica
2020-04-11,3,Sim,Asma
2020-04-11,2,Sim,Doença Hematológica Crônica
2020-04-11,2,Sim,Doença Hepática Crônica
2020-04-11,2,Sim,Obesidade
2020-04-11,1,Sim,Imunodeficiência/Imunodepressão
2020-04-12,74,Sim,Doença Cardiovascular Crônica
2020-04-12,50,Sim,Diabetes mellitus
2020-04-12,15,Sim,Outra Pneumopatia Crônica
2020-04-12,11,Sim,Doença Neurológica Crônica
2020-04-12,7,Sim,Doença Renal Crônica
2020-04-12,3,Sim,Asma
2020-04-12,2,Sim,Doença Hematológica Crônica
2020-04-12,2,Sim,Doença Hepática Crônica
2020-04-12,2,Sim,Obesidade
2020-04-12,1,Sim,Imunodeficiência/Imunodepressão
2020-04-13,76,Sim,Doença Cardiovascular Crônica
2020-04-13,52,Sim,Diabetes mellitus
2020-04-13,15,Sim,Outra Pneumopatia Crônica
2020-04-13,11,Sim,Doença Neurológica Crônica
2020-04-13,7,Sim,Doença Renal Crônica
2020-04-13,3,Sim,Asma
2020-04-13,2,Sim,Doença Hematológica Crônica
2020-04-13,2,Sim,Doença Hepática Crônica
2020-04-13,2,Sim,Obesidade
2020-04-13,1,Sim,Imunodeficiência/Imunodepressão
2020-04-14,87,Sim,Doença Cardiovascular Crônica
2020-04-14,59,Sim,Diabetes mellitus
2020-04-14,15,Sim,Outra Pneumopatia Crônica
2020-04-14,13,Sim,Doença Neurológica Crônica
2020-04-14,7,Sim,Doença Renal Crônica
2020-04-14,4,Sim,Doença Hepática Crônica
2020-04-14,3,Sim,Asma
2020-04-14,3,Sim,Imunodeficiência/Imunodepressão
2020-04-14,2,Sim,Doença Hematológica Crônica
2020-04-14,2,Sim,Obesidade
2020-04-15,98,Sim,Doença Cardiovascular Crônica
2020-04-15,66,Sim,Diabetes mellitus
2020-04-15,16,Sim,Doença Neurológica Crônica
2020-04-15,16,Sim,Outra Pneumopatia Crônica
2020-04-15,9,Sim,Doença Renal Crônica
2020-04-15,4,Sim,Doença Hepática Crônica
2020-04-15,4,Sim,Imunodeficiência/Imunodepressão
2020-04-15,3,Sim,Asma
2020-04-15,3,Sim,Obesidade
2020-04-15,2,Sim,Doença Hematológica Crônica
2020-04-16,104,Sim,Doença Cardiovascular Crônica
2020-04-16,71,Sim,Diabetes mellitus
2020-04-16,17,Sim,Outra Pneumopatia Crônica
2020-04-16,16,Sim,Doença Neurológica Crônica
2020-04-16,9,Sim,Doença Renal Crônica
2020-04-16,4,Sim,Doença Hepática Crônica
2020-04-16,4,Sim,Imunodeficiência/Imunodepressão
2020-04-16,3,Sim,Asma
2020-04-16,3,Sim,Obesidade
2020-04-16,2,Sim,Doença Hematológica Crônica
2020-04-17,112,Sim,Doença Cardiovascular Crônica
2020-04-17,76,Sim,Diabetes mellitus
2020-04-17,20,Sim,Outra Pneumopatia Crônica
2020-04-17,18,Sim,Doença Neurológica Crônica
2020-04-17,13,Sim,Doença Renal Crônica
2020-04-17,5,Sim,Doença Hepática Crônica
2020-04-17,4,Sim,Imunodeficiência/Imunodepressão
2020-04-17,3,Sim,Asma
2020-04-17,3,Sim,Obesidade
2020-04-17,2,Sim,Doença Hematológica Crônica
2020-04-18,117,Sim,Doença Cardiovascular Crônica
2020-04-18,79,Sim,Diabetes mellitus
2020-04-18,21,Sim,Outra Pneumopatia Crônica
2020-04-18,20,Sim,Doença Neurológica Crônica
2020-04-18,13,Sim,Doença Renal Crônica
2020-04-18,5,Sim,Doença Hepática Crônica
2020-04-18,4,Sim,Imunodeficiência/Imunodepressão
2020-04-18,3,Sim,Asma
2020-04-18,3,Sim,Obesidade
2020-04-18,2,Sim,Doença Hematológica Crônica
2020-04-19,122,Sim,Doença Cardiovascular Crônica
2020-04-19,82,Sim,Diabetes mellitus
2020-04-19,21,Sim,Doença Neurológica Crônica
2020-04-19,21,Sim,Outra Pneumopatia Crônica
2020-04-19,13,Sim,Doença Renal Crônica
2020-04-19,5,Sim,Doença Hepática Crônica
2020-04-19,4,Sim,Imunodeficiência/Imunodepressão
2020-04-19,3,Sim,Asma
2020-04-19,3,Sim,Obesidade
2020-04-19,2,Sim,Doença Hematológica Crônica
2020-04-20,126,Sim,Doença Cardiovascular Crônica
2020-04-20,85,Sim,Diabetes mellitus
2020-04-20,25,Sim,Outra Pneumopatia Crônica
2020-04-20,23,Sim,Doença Neurológica Crônica
2020-04-20,15,Sim,Doença Renal Crônica
2020-04-20,5,Sim,Doença Hepática Crônica
2020-04-20,4,Sim,Asma
2020-04-20,4,Sim,Imunodeficiência/Imunodepressão
2020-04-20,3,Sim,Obesidade
2020-04-20,2,Sim,Doença Hematológica Crônica
2020-04-21,130,Sim,Doença Cardiovascular Crônica
2020-04-21,87,Sim,Diabetes mellitus
2020-04-21,26,Sim,Outra Pneumopatia Crônica
2020-04-21,23,Sim,Doença Neurológica Crônica
2020-04-21,15,Sim,Doença Renal Crônica
2020-04-21,6,Sim,Doença Hepática Crônica
2020-04-21,4,Sim,Asma
2020-04-21,4,Sim,Imunodeficiência/Imunodepressão
2020-04-21,3,Sim,Obesidade
2020-04-21,2,Sim,Doença Hematológica Crônica
