Data,Casos confirmados,Total obitos,Letalidade (%),Media Obitos por Dia,Comorbidade (%),Idade media obito,Idade mediana obito,Obitos suspeitos,Dias entre inicio sintomas ate internacao,Dias entre inicio sintomas ate resultado do exame,Dias entre inicio sintomas ate obito,Obitos na hospital,Obitos na residencia,Obitos sem informacao local
2020-03-24,997,2,0.2,0.06,100,66.52,62.5,3,,4.0,4.5,2,0,0
2020-03-25,1141,3,0.26,0.1,100,66.52,65.0,3,20.0,10.0,4.17,3,0,0
2020-03-26,1256,6,0.48,0.19,83.33,66.52,78.0,3,17.0,11.0,5.78,6,0,0
2020-03-27,1348,9,0.67,0.29,77.78,66.52,84.0,3,17.0,11.33,6.25,8,1,0
2020-03-28,1409,11,0.78,0.35,81.82,66.52,72.0,3,14.17,10.73,6.29,10,1,0
2020-03-29,1468,14,0.95,0.45,85.71,66.52,71.5,3,11.63,6.47,11.5,12,2,0
2020-03-30,1588,17,1.07,0.55,88.24,66.52,71.0,3,10.89,7.15,12.41,15,2,0
2020-03-31,1649,20,1.21,0.65,90,66.52,68.0,4,9.45,12.47,7.17,18,2,0
2020-04-01,1723,22,1.28,0.71,90.91,66.52,71.5,4,11.06,10.57,14.13,20,2,0
2020-04-02,1789,29,1.62,0.94,82.76,66.52,72.0,6,9.57,12.66,11.04,27,2,0
2020-04-03,1858,37,1.99,1.19,78.38,66.52,75.0,7,8.81,13.03,11.08,35,2,0
2020-04-04,1920,44,2.29,1.42,81.82,66.52,74.0,8,8.38,12.73,10.7,42,2,0
2020-04-05,1948,51,2.62,1.65,84.31,66.52,74.0,14,8.1,13.1,10.67,47,4,0
2020-04-06,2001,60,3,1.94,83.33,66.52,73.5,18,8.0,12.53,10.65,56,4,0
2020-04-07,2054,66,3.21,2.13,84.85,66.52,73.0,20,7.63,12.38,10.6,62,4,0
2020-04-08,2106,72,3.42,2.32,86.11,66.52,73.0,26,7.8,10.9,12.57,68,4,0
2020-04-09,2130,80,3.76,2.58,83.75,66.52,73.0,31,7.7,12.38,10.85,76,4,0
2020-04-10,2135,88,4.12,2.84,84.09,66.52,72.0,38,7.47,10.73,12.13,84,4,0
2020-04-11,2139,96,4.49,3.1,83.33,66.52,73.0,47,6.27,11.42,10.63,92,4,0
2020-04-12,2140,102,4.77,3.29,83.33,66.52,73.0,56,6.53,11.46,10.82,98,4,0
2020-04-13,2144,107,4.99,3.45,81.31,66.52,72.0,65,6.63,11.51,11.03,103,4,0
2020-04-14,2157,115,5.33,3.71,82.61,66.52,72.0,74,6.27,11.14,11.08,111,4,0
2020-04-15,2157,116,5.38,3.74,82.76,66.52,72.0,75,6.17,11.03,11.14,112,4,0
