Data,Casos confirmados,Total obitos,Letalidade (%),Media Obitos por Dia,Comorbidade (%),Idade media obito,Idade mediana obito,Obitos suspeitos,Dias entre inicio sintomas ate internacao,Dias entre inicio sintomas ate resultado do exame,Dias entre inicio sintomas ate obito,Obitos na hospital,Obitos na residencia,Obitos sem informacao local
2020-03-24,1042,2,0.19,0.06,100,65.96,62.5,3,,4.5,4.0,2,0,0
2020-03-25,1195,3,0.25,0.09,100,65.96,53.0,3,20.0,19.0,4.17,3,0,0
2020-03-26,1333,6,0.45,0.19,83.33,65.96,72.0,3,17.0,5.78,16.14,6,0,0
2020-03-27,1437,9,0.63,0.28,77.78,65.96,78.0,3,17.0,6.25,15.33,8,1,0
2020-03-28,1513,11,0.73,0.34,81.82,65.96,71.5,3,14.17,6.29,14.0,10,1,0
2020-03-29,1578,14,0.89,0.44,85.71,65.96,71.0,3,11.63,14.07,6.47,12,2,0
2020-03-30,1702,17,1,0.53,88.24,65.96,68.0,3,10.89,14.53,7.15,15,2,0
2020-03-31,1767,20,1.13,0.63,90,65.96,65.0,4,9.45,14.37,7.17,18,2,0
2020-04-01,1849,22,1.19,0.69,90.91,65.96,71.0,4,11.06,16.2,10.94,20,2,0
2020-04-02,1923,30,1.56,0.94,80,65.96,71.0,5,9.57,11.09,14.63,27,3,0
2020-04-03,1996,38,1.9,1.19,76.32,65.96,74.0,6,8.81,14.64,11.13,35,3,0
2020-04-04,2061,45,2.18,1.41,80,65.96,73.5,7,8.38,14.19,10.75,42,3,0
2020-04-05,2090,52,2.49,1.63,82.69,65.96,73.0,13,8.1,14.4,10.72,47,5,0
2020-04-06,2148,61,2.84,1.91,81.97,65.96,72.5,17,8.0,10.69,13.72,56,5,0
2020-04-07,2201,67,3.04,2.09,83.58,65.96,73.0,19,7.63,13.52,10.64,62,5,0
2020-04-08,2260,73,3.23,2.28,84.93,65.96,72.5,25,7.8,10.93,13.66,68,5,0
2020-04-09,2289,81,3.54,2.53,82.72,65.96,72.5,30,7.7,10.88,13.41,76,5,0
2020-04-10,2300,91,3.96,2.84,82.42,65.96,71.5,35,7.47,13.0,10.68,86,5,0
2020-04-11,2326,99,4.26,3.09,81.82,65.96,73.0,44,6.27,10.58,12.29,94,5,0
2020-04-12,2338,107,4.58,3.34,82.24,65.96,72.0,51,6.53,12.49,10.91,100,5,2
2020-04-13,2367,112,4.73,3.5,80.36,65.96,71.0,60,6.63,11.11,12.49,105,5,2
2020-04-14,2385,122,5.12,3.81,81.97,65.96,71.0,70,6.22,12.05,11.21,115,5,2
2020-04-15,2386,124,5.2,3.88,82.26,65.96,71.0,77,6.08,12.04,11.16,117,5,2
2020-04-16,2386,124,5.2,3.88,82.26,65.96,71.0,77,6.08,11.16,12.04,117,5,2
