Data,Casos confirmados,Total obitos,Letalidade (%),Media Obitos por Dia,Comorbidade (%),Idade media obito,Idade mediana obito,Obitos suspeitos,Dias entre inicio sintomas ate internacao,Dias entre inicio sintomas ate resultado do exame,Dias entre inicio sintomas ate obito,Obitos hospitais privados,Obitos na residencia,Obitos hospitais publicos,Obitos sem informacao local
2020-03-24,1531,5,0.33,0.09,80,67.85,68.0,0,4,21,36,2,1,2,0
2020-03-25,1735,7,0.4,0.13,85.71,67.85,68.0,0,4,21,36,2,2,3,0
2020-03-26,1922,10,0.52,0.19,80,67.85,77.5,0,4,21,36,4,2,4,0
2020-03-27,2071,13,0.63,0.24,76.92,67.85,83.0,0,5.0,16.2,14.33,4,3,6,0
2020-03-28,2191,15,0.68,0.28,80,67.85,72.0,0,5.0,14.33,16.2,5,3,7,0
2020-03-29,2304,19,0.82,0.35,78.95,67.85,72.0,0,4.4,10.0,15.38,7,4,8,0
2020-03-30,2454,23,0.94,0.43,78.26,67.85,74.0,0,4.4,10.22,15.89,10,4,9,0
2020-03-31,2579,26,1.01,0.48,80.77,67.85,73.0,0,4.43,9.0,14.73,11,4,11,0
2020-04-01,2795,28,1,0.52,82.14,67.85,74.5,0,4.43,9.85,14.73,12,4,12,0
2020-04-02,2946,37,1.26,0.69,72.97,67.85,74.0,0,3.44,9.45,15.0,16,7,14,0
2020-04-03,3084,46,1.49,0.85,69.57,67.85,75.0,0,4.79,14.85,9.68,18,7,21,0
2020-04-04,3245,53,1.63,0.98,73.58,67.85,74.0,0,4.94,13.84,9.17,18,7,28,0
2020-04-05,3434,61,1.78,1.13,77.05,67.85,74.0,2,5.1,14.7,9.61,18,9,34,0
2020-04-06,3642,73,2,1.35,78.08,67.85,74.0,2,5.58,14.43,9.76,21,10,42,0
2020-04-07,3867,80,2.07,1.48,80,67.85,73.0,2,5.5600000000000005,13.76,9.58,24,10,46,0
2020-04-08,4124,88,2.13,1.63,81.82,67.85,73.0,2,5.64,13.74,9.65,27,10,51,0
2020-04-09,4409,100,2.27,1.85,80,67.85,74.0,4,5.68,9.42,13.44,30,11,59,0
2020-04-10,4817,112,2.33,2.07,80.36,67.85,73.5,4,7.03,10.02,13.92,34,11,67,0
2020-04-11,5170,125,2.42,2.31,80,67.85,74.0,5,6.5,9.96,13.2,36,12,77,0
2020-04-12,5534,139,2.51,2.57,79.86,67.85,74.0,5,7.17,10.24,13.66,38,14,87,0
2020-04-13,5977,146,2.44,2.7,78.08,67.85,73.0,5,7.43,10.39,13.37,40,14,92,0
2020-04-14,6450,166,2.57,3.07,79.52,67.85,73.0,5,7.43,10.87,13.17,45,14,107,0
2020-04-15,6949,184,2.65,3.41,79.89,67.85,71.0,7,7.23,10.64,12.68,50,14,120,0
2020-04-16,7388,200,2.71,3.7,80.5,67.85,71.0,9,7.09,12.64,10.77,51,15,134,0
2020-04-17,7902,223,2.82,4.13,80.27,67.85,72.0,10,6.82,10.96,12.43,56,16,151,0
2020-04-18,8388,240,2.86,4.44,80,67.85,71.5,15,6.92,10.98,12.54,58,17,165,0
2020-04-19,8940,263,2.94,4.87,79.47,67.85,71.0,23,6.79,12.31,10.99,64,19,180,0
2020-04-20,9746,295,3.03,5.46,79.66,67.85,71.0,24,6.45,12.52,11.33,71,20,204,0
2020-04-21,10294,320,3.11,5.93,77.81,67.85,71.0,28,6.54,12.41,11.47,76,22,222,0
2020-04-22,10853,343,3.16,6.35,77.55,67.85,72.0,33,6.54,11.29,12.14,77,23,243,0
2020-04-23,11411,365,3.2,6.76,77.53,67.85,72.0,36,6.82,12.27,11.38,81,23,261,0
2020-04-24,12036,408,3.39,7.56,76.96,67.85,72.0,41,6.86,12.01,11.34,85,26,297,0
2020-04-25,12620,445,3.53,8.24,75.51,67.85,72.0,47,6.89,11.38,12.06,92,28,325,0
2020-04-26,13072,496,3.79,9.19,75,67.85,72.0,50,6.65,11.26,11.79,102,28,366,0
2020-04-27,13510,535,3.96,9.91,74.77,67.85,72.0,57,6.68,11.75,11.22,106,28,401,0
2020-04-28,13863,574,4.14,10.63,74.91,67.85,72.0,65,6.5,11.2,11.57,111,28,435,0
2020-04-29,14112,628,4.45,11.63,74.68,67.85,72.0,80,6.41,11.49,11.12,122,33,473,0
2020-04-30,14364,686,4.78,12.7,73.76,67.85,71.0,100,6.46,11.33,11.14,132,37,517,0
2020-05-01,14514,738,5.08,13.67,72.49,67.85,71.0,123,6.5,11.13,11.22,136,44,558,0
2020-05-02,14631,783,5.35,14.5,71.9,67.85,71.0,151,6.5600000000000005,11.26,11.29,143,47,593,0
2020-05-03,14709,832,5.66,15.41,71.75,67.85,71.0,181,6.64,11.22,11.36,152,51,629,0
2020-05-04,14801,878,5.93,16.26,71.3,67.85,71.0,213,6.71,11.5,11.27,162,53,663,0
2020-05-05,14882,923,6.2,17.09,71.51,67.85,71.0,241,6.64,11.17,11.72,174,55,694,0
2020-05-06,14931,943,6.32,17.46,71.58,67.85,71.0,281,6.61,11.19,11.84,180,56,707,0
2020-05-07,14956,961,6.43,17.8,71.49,67.85,71.0,299,6.59,11.88,11.17,185,56,720,0
2020-05-08,14956,966,6.46,17.89,71.43,67.85,71.0,302,6.59,11.89,11.16,185,56,725,0
