Data,Casos confirmados,Total obitos,Letalidade (%),Media Obitos por Dia,Comorbidade (%),Idade media obito,Idade mediana obito,Obitos suspeitos,Dias entre inicio sintomas ate internacao,Dias entre inicio sintomas ate resultado do exame,Dias entre inicio sintomas ate obito,Obitos na hospital,Obitos na residencia,Obitos sem informacao local
2020-03-24,1186,2,0.17,0.06,100,64.79,62.5,3,,,36.0,2,0,0
2020-03-25,1375,4,0.29,0.11,100,64.79,62.0,3,5.0,12.5,-9.0,4,0,0
2020-03-26,1540,7,0.45,0.2,85.71,64.79,83.0,3,5.0,-9.0,12.5,7,0,0
2020-03-27,1671,10,0.6,0.29,80,64.79,83.5,3,5.0,-1.5,8.33,9,1,0
2020-03-28,1764,12,0.68,0.34,83.33,64.79,77.5,3,5.0,-1.5,8.33,11,1,0
2020-03-29,1854,16,0.86,0.46,81.25,64.79,73.0,3,5.25,8.6,7.67,14,2,0
2020-03-30,1963,19,0.97,0.54,84.21,64.79,74.0,3,5.25,9.0,10.83,17,2,0
2020-03-31,2054,22,1.07,0.63,86.36,64.79,73.0,3,4.29,10.78,8.0,20,2,0
2020-04-01,2161,24,1.11,0.69,87.5,64.79,74.5,3,4.29,10.78,9.0,22,2,0
2020-04-02,2244,32,1.43,0.91,78.13,64.79,74.0,3,3.3,10.92,9.18,29,3,0
2020-04-03,2315,40,1.73,1.14,75,64.79,75.0,3,4.5,11.89,9.54,37,3,0
2020-04-04,2386,47,1.97,1.34,78.72,64.79,74.0,3,4.5600000000000005,11.17,8.8,44,3,0
2020-04-05,2439,55,2.26,1.57,81.82,64.79,74.0,5,4.7,9.31,12.37,50,5,0
2020-04-06,2491,65,2.61,1.86,81.54,64.79,73.5,7,5.36,12.14,9.53,60,5,0
2020-04-07,2544,71,2.79,2.03,83.1,64.79,73.0,8,5.2,11.69,9.49,66,5,0
2020-04-08,2604,77,2.96,2.2,84.42,64.79,73.0,11,5.29,11.7,9.85,72,5,0
2020-04-09,2645,87,3.29,2.49,82.76,64.79,73.0,14,5.42,11.44,9.66,82,5,0
2020-04-10,2685,98,3.65,2.8,82.65,64.79,72.0,17,6.43,12.07,10.35,93,5,0
2020-04-11,2743,108,3.94,3.09,82.41,64.79,73.0,21,6.57,11.93,10.45,103,5,0
2020-04-12,2792,118,4.23,3.37,82.2,64.79,73.0,24,6.85,10.67,12.01,111,5,2
2020-04-13,2872,125,4.35,3.57,80,64.79,72.0,30,6.88,11.94,10.95,118,5,2
2020-04-14,2977,143,4.8,4.09,81.82,64.79,71.0,40,6.84,11.7,11.23,136,5,2
2020-04-15,3032,156,5.15,4.46,82.05,64.79,70.5,53,6.79,11.9,11.25,149,5,2
2020-04-16,3050,162,5.31,4.63,82.1,64.79,71.0,72,6.73,11.81,11.5,155,5,2
2020-04-17,3062,176,5.75,5.03,81.25,64.79,70.5,81,6.47,11.62,11.81,169,5,2
2020-04-18,3062,180,5.88,5.14,81.11,64.79,70.5,86,6.43,11.59,11.83,173,5,2
2020-04-19,3062,180,5.88,5.14,81.11,64.79,70.5,86,6.43,11.83,11.59,173,5,2
