Data,Casos confirmados,Total obitos,Letalidade (%),Media Obitos por Dia,Comorbidade (%),Idade media obito,Idade mediana obito,Obitos suspeitos,Dias entre inicio sintomas ate internacao,Dias entre inicio sintomas ate resultado do exame,Dias entre inicio sintomas ate obito,Obitos na hospital,Obitos na residencia,Obitos sem informacao local
2020-03-24,971,2,0.21,0.06,100,66.68,62.5,2,,4.5,4.0,2,0,0
2020-03-25,1110,3,0.27,0.1,100,66.68,65.0,2,20.0,4.17,5.5,2,1,0
2020-03-26,1216,6,0.49,0.19,83.33,66.68,78.0,2,12.5,8.43,5.78,5,1,0
2020-03-27,1305,9,0.69,0.29,77.78,66.68,84.0,2,12.5,6.25,9.33,7,2,0
2020-03-28,1368,11,0.8,0.35,81.82,66.68,72.0,2,8.33,6.29,9.09,9,2,0
2020-03-29,1429,14,0.98,0.45,85.71,66.68,71.5,2,6.6,10.21,6.47,11,3,0
2020-03-30,1543,17,1.1,0.55,88.24,66.68,71.0,2,6.33,7.15,11.35,14,3,0
2020-03-31,1604,20,1.25,0.65,90,66.68,68.0,3,5.5,7.17,11.53,17,3,0
2020-04-01,1679,22,1.31,0.71,90.91,66.68,71.5,3,6.44,10.17,13.35,19,3,0
2020-04-02,1743,29,1.66,0.94,82.76,66.68,72.0,5,5.92,12.0,10.83,25,4,0
2020-04-03,1812,36,1.99,1.16,77.78,66.68,75.0,7,5.82,10.95,12.5,32,4,0
2020-04-04,1868,43,2.3,1.39,81.4,66.68,74.0,8,5.65,10.57,12.26,39,4,0
2020-04-05,1897,50,2.64,1.61,84,66.68,73.5,14,5.52,12.69,10.55,44,6,0
2020-04-06,1950,59,3.03,1.9,83.05,66.68,73.0,18,5.57,10.54,12.15,52,7,0
2020-04-07,1997,65,3.25,2.1,84.62,66.68,73.0,20,5.41,10.5,12.02,58,7,0
2020-04-08,2045,71,3.47,2.29,85.92,66.68,73.0,26,5.87,10.81,12.23,64,7,0
2020-04-09,2060,79,3.83,2.55,83.54,66.68,73.0,30,5.84,10.76,12.06,72,7,0
2020-04-10,2065,87,4.21,2.81,83.91,66.68,72.0,37,5.74,11.83,10.76,80,7,0
2020-04-11,2067,94,4.55,3.03,82.98,66.68,73.0,46,5.61,11.28,10.65,87,7,0
2020-04-12,2067,100,4.84,3.23,83,66.68,73.0,55,5.61,10.82,11.32,93,7,0
2020-04-13,2069,105,5.07,3.39,80.95,66.68,72.0,61,5.53,11.04,11.38,98,7,0
2020-04-14,2075,111,5.35,3.58,81.98,66.68,72.0,64,5.54,11.1,11.17,104,7,0
2020-04-15,2075,111,5.35,3.58,81.98,66.68,72.0,64,5.54,11.1,11.17,104,7,0
