Data,Casos confirmados,Total obitos,Letalidade (%),Media Obitos por Dia,Comorbidade (%),Idade media obito,Idade mediana obito,Obitos suspeitos,Dias entre inicio sintomas ate internacao,Dias entre inicio sintomas ate resultado do exame,Dias entre inicio sintomas ate obito,Obitos no hospital,Obitos na residencia,Obitos sem informacao local
2020-03-24,1491,4,0.27,0.08,100,68.79,76.0,0,,36.0,11.0,0,0,0
2020-03-25,1682,6,0.36,0.12,100,68.79,75.5,0,,20.0,11.0,0,0,0
2020-03-26,1858,9,0.48,0.18,88.89,68.79,83.0,0,,20.0,11.0,0,0,0
2020-03-27,2000,12,0.6,0.24,83.33,68.79,83.5,0,6.0,11.0,9.67,0,0,0
2020-03-28,2109,14,0.66,0.28,85.71,68.79,77.5,0,6.0,11.0,9.67,0,0,0
2020-03-29,2208,18,0.82,0.36,83.33,68.79,73.0,0,4.5,9.0,11.83,0,0,0
2020-03-30,2351,22,0.94,0.44,81.82,68.79,75.5,0,4.5,9.42,13.0,0,0,0
2020-03-31,2475,25,1.01,0.5,84,68.79,74.0,0,4.5,12.22,8.6,0,0,0
2020-04-01,2678,27,1.01,0.54,85.19,68.79,75.0,0,4.5,12.22,9.31,0,0,0
2020-04-02,2821,36,1.28,0.72,75,68.79,74.5,0,3.38,9.13,13.31,0,0,0
2020-04-03,2947,45,1.53,0.9,71.11,68.79,75.0,0,4.85,9.42,13.37,0,0,0
2020-04-04,3106,52,1.67,1.04,75,68.79,74.0,0,5.0,8.84,12.63,0,0,0
2020-04-05,3262,60,1.84,1.2,78.33,68.79,74.0,2,5.16,13.72,9.3,0,0,0
2020-04-06,3456,72,2.08,1.44,79.17,68.79,74.0,2,5.65,13.53,9.36,0,0,0
2020-04-07,3666,79,2.15,1.58,81.01,68.79,73.0,2,5.72,9.23,12.92,0,0,0
2020-04-08,3917,87,2.22,1.74,82.76,68.79,73.0,2,5.8100000000000005,12.92,9.32,0,0,0
2020-04-09,4186,99,2.37,1.98,80.81,68.79,74.0,4,5.83,9.15,12.73,0,0,0
2020-04-10,4553,111,2.44,2.22,81.08,68.79,74.0,4,6.97,9.75,13.35,0,0,0
2020-04-11,4884,124,2.54,2.48,80.65,68.79,74.0,5,7.29,10.06,13.34,0,0,0
2020-04-12,5222,138,2.64,2.76,80.43,68.79,74.0,5,7.64,13.62,10.16,0,0,0
2020-04-13,5643,145,2.57,2.9,78.62,68.79,73.0,5,7.52,10.38,13.42,0,0,0
2020-04-14,6047,165,2.73,3.3,80,68.79,73.0,5,7.54,12.79,10.86,0,0,0
2020-04-15,6457,183,2.83,3.66,80.33,68.79,71.0,7,7.31,10.72,12.5,0,0,0
2020-04-16,6844,199,2.91,3.98,80.9,68.79,71.0,9,7.09,10.84,12.55,0,0,0
2020-04-17,7262,222,3.06,4.44,80.63,68.79,72.0,10,6.83,12.37,11.03,0,0,0
2020-04-18,7646,239,3.13,4.78,80.33,68.79,72.0,15,6.93,11.03,12.49,0,0,0
2020-04-19,8037,262,3.26,5.24,79.77,68.79,71.5,23,6.85,11.04,12.27,0,0,0
2020-04-20,8587,293,3.41,5.86,79.86,68.79,72.0,25,6.48,11.35,12.35,0,0,0
2020-04-21,8929,318,3.56,6.36,77.99,68.79,71.5,29,6.61,11.48,12.31,0,0,0
2020-04-22,9306,340,3.65,6.8,77.94,68.79,72.0,34,6.6,11.31,12.09,0,0,0
2020-04-23,9629,361,3.75,7.22,77.84,68.79,72.0,36,6.97,12.22,11.38,0,0,0
2020-04-24,9944,401,4.03,8.02,77.06,68.79,72.0,42,6.9,11.95,11.39,0,0,0
2020-04-25,10192,437,4.29,8.74,75.74,68.79,72.0,45,6.94,12.01,11.46,0,0,0
2020-04-26,10367,487,4.7,9.74,75.15,68.79,72.0,47,6.73,11.33,11.78,0,0,0
2020-04-27,10550,520,4.93,10.4,75.19,68.79,72.0,56,6.74,11.39,11.86,0,0,0
2020-04-28,10635,553,5.2,11.06,75.59,68.79,72.0,64,6.6,11.41,11.7,0,0,0
2020-04-29,10761,594,5.52,11.88,75.25,68.79,72.0,89,6.52,11.61,11.37,0,0,0
2020-04-30,10876,637,5.86,12.74,74.25,68.79,72.0,114,6.58,11.51,11.51,0,0,0
2020-05-01,10976,674,6.14,13.48,73,68.79,72.0,133,6.6,11.46,11.63,0,0,0
2020-05-02,11015,691,6.27,13.82,72.36,68.79,72.0,156,6.67,11.78,11.53,0,0,0
2020-05-03,11031,711,6.45,14.22,72.57,68.79,72.0,177,6.68,11.86,11.47,0,0,0
2020-05-04,11040,712,6.45,14.24,72.61,68.79,72.0,180,6.68,11.86,11.47,0,0,0
