Data,Casos confirmados,Total obitos,Letalidade (%),Media Obitos por Dia,Comorbidade (%),Idade media obito,Idade mediana obito,Obitos suspeitos,Dias entre inicio sintomas ate internacao,Dias entre inicio sintomas ate resultado do exame,Dias entre inicio sintomas ate obito,Obitos na hospital,Obitos na residencia,Obitos sem informacao local
2020-03-24,1178,2,0.17,0.06,100,65.02,62.5,3,,,36.0,2,0,0
2020-03-25,1367,4,0.29,0.12,100,65.02,62.0,3,5.0,-9.0,12.5,4,0,0
2020-03-26,1531,7,0.46,0.21,85.71,65.02,83.0,3,5.0,12.5,-9.0,7,0,0
2020-03-27,1661,10,0.6,0.29,80,65.02,83.5,3,5.0,-1.5,8.33,9,1,0
2020-03-28,1748,12,0.69,0.35,83.33,65.02,77.5,3,5.0,8.33,-1.5,11,1,0
2020-03-29,1830,16,0.87,0.47,81.25,65.02,73.0,3,5.25,8.6,7.67,14,2,0
2020-03-30,1932,19,0.98,0.56,84.21,65.02,74.0,3,5.25,9.0,10.83,17,2,0
2020-03-31,2016,22,1.09,0.65,86.36,65.02,73.0,3,4.29,10.78,8.0,20,2,0
2020-04-01,2115,24,1.13,0.71,87.5,65.02,74.5,3,4.29,9.0,10.78,22,2,0
2020-04-02,2188,32,1.46,0.94,78.13,65.02,74.0,3,3.3,10.92,9.18,29,3,0
2020-04-03,2256,40,1.77,1.18,75,65.02,75.0,3,4.5,9.54,11.89,37,3,0
2020-04-04,2322,47,2.02,1.38,78.72,65.02,74.0,3,4.5600000000000005,11.17,8.8,44,3,0
2020-04-05,2370,55,2.32,1.62,81.82,65.02,74.0,5,4.7,12.37,9.31,50,5,0
2020-04-06,2418,64,2.65,1.88,81.25,65.02,74.0,7,5.36,12.14,9.55,59,5,0
2020-04-07,2470,70,2.83,2.06,82.86,65.02,73.0,8,5.2,11.68,9.5,65,5,0
2020-04-08,2529,76,3.01,2.24,84.21,65.02,73.0,11,5.29,9.87,11.7,71,5,0
2020-04-09,2571,85,3.31,2.5,82.35,65.02,73.0,15,5.42,9.75,11.43,80,5,0
2020-04-10,2610,95,3.64,2.79,83.16,65.02,72.5,18,6.43,12.07,10.44,90,5,0
2020-04-11,2665,105,3.94,3.09,82.86,65.02,73.0,22,6.57,11.92,10.54,100,5,0
2020-04-12,2714,115,4.24,3.38,82.61,65.02,73.0,25,6.85,11.79,10.6,108,5,2
2020-04-13,2793,121,4.33,3.56,80.99,65.02,72.5,32,6.88,11.73,10.92,114,5,2
2020-04-14,2890,138,4.78,4.06,83.33,65.02,71.0,42,6.84,11.51,11.22,131,5,2
2020-04-15,2936,147,5.01,4.32,84.35,65.02,71.0,58,6.79,11.31,11.73,140,5,2
2020-04-16,2952,153,5.18,4.5,84.31,65.02,71.0,74,6.73,11.57,11.65,146,5,2
2020-04-17,2955,162,5.48,4.76,84.57,65.02,71.0,79,6.6,11.52,11.75,155,5,2
2020-04-18,2955,162,5.48,4.76,84.57,65.02,71.0,79,6.6,11.75,11.52,155,5,2
