Data,Casos confirmados,Total obitos,Letalidade (%),Media Obitos por Dia,Comorbidade (%),Idade media obito,Idade mediana obito,Obitos suspeitos,Dias entre inicio sintomas ate internacao,Dias entre inicio sintomas ate resultado do exame,Dias entre inicio sintomas ate obito,Obitos hospitais privados,Obitos na residencia,Obitos hospitais publicos,Obitos sem informacao local
2020-03-24,1498,4,0.27,0.08,100,68.62,76.0,2,,36.0,11.0,2,1,1,0
2020-03-25,1686,6,0.36,0.12,100,68.62,75.5,2,,11.0,20.0,2,2,2,0
2020-03-26,1861,9,0.48,0.18,88.89,68.62,83.0,2,,11.0,20.0,4,2,3,0
2020-03-27,2005,12,0.6,0.24,83.33,68.62,83.5,2,6.0,9.67,11.0,4,3,5,0
2020-03-28,2115,14,0.66,0.27,85.71,68.62,77.5,2,6.0,11.0,9.67,5,3,6,0
2020-03-29,2214,18,0.81,0.35,83.33,68.62,73.0,2,4.5,9.0,11.83,7,4,7,0
2020-03-30,2356,22,0.93,0.43,81.82,68.62,75.5,2,4.5,9.42,13.0,10,4,8,0
2020-03-31,2475,25,1.01,0.49,84,68.62,74.0,2,4.5,8.6,12.22,11,4,10,0
2020-04-01,2678,27,1.01,0.53,85.19,68.62,75.0,2,4.5,12.22,9.31,12,4,11,0
2020-04-02,2824,36,1.27,0.71,75,68.62,74.5,2,3.38,13.31,9.13,16,6,13,1
2020-04-03,2949,45,1.53,0.88,71.11,68.62,75.0,2,4.85,13.37,9.42,18,6,20,1
2020-04-04,3109,52,1.67,1.02,75,68.62,74.0,2,5.0,8.84,12.63,18,6,27,1
2020-04-05,3266,60,1.84,1.18,78.33,68.62,74.0,4,5.16,13.72,9.3,18,8,33,1
2020-04-06,3464,72,2.08,1.41,79.17,68.62,74.0,4,5.65,13.53,9.36,21,9,41,1
2020-04-07,3676,79,2.15,1.55,81.01,68.62,73.0,4,5.72,12.92,9.23,24,9,45,1
2020-04-08,3926,87,2.22,1.71,82.76,68.62,73.0,4,5.8100000000000005,12.92,9.32,27,9,50,1
2020-04-09,4196,99,2.36,1.94,80.81,68.62,74.0,6,5.83,12.73,9.15,30,10,58,1
2020-04-10,4566,111,2.43,2.18,81.08,68.62,74.0,6,6.89,9.77,13.29,34,10,66,1
2020-04-11,4896,124,2.53,2.43,80.65,68.62,74.0,7,7.21,13.29,10.0,36,11,76,1
2020-04-12,5235,138,2.64,2.71,80.43,68.62,74.0,7,7.57,13.57,10.11,38,11,86,3
2020-04-13,5656,145,2.56,2.84,78.62,68.62,73.0,7,7.45,10.33,13.38,40,11,91,3
2020-04-14,6059,165,2.72,3.24,80,68.62,73.0,7,7.6,12.85,10.82,45,11,106,3
2020-04-15,6478,183,2.82,3.59,80.33,68.62,71.0,9,7.36,12.53,10.68,50,11,119,3
2020-04-16,6869,199,2.9,3.9,80.9,68.62,71.0,11,7.14,12.57,10.81,51,12,133,3
2020-04-17,7293,222,3.04,4.35,80.63,68.62,72.0,12,6.87,12.39,10.99,56,13,150,3
2020-04-18,7683,239,3.11,4.69,80.33,68.62,72.0,17,6.97,12.51,11.0,58,14,164,3
2020-04-19,8084,262,3.24,5.14,79.77,68.62,71.5,25,6.88,11.01,12.29,64,16,179,3
2020-04-20,8652,293,3.39,5.75,79.86,68.62,72.0,27,6.52,11.33,12.36,71,17,202,3
2020-04-21,9007,318,3.53,6.24,77.99,68.62,71.5,31,6.64,12.32,11.46,76,19,220,3
2020-04-22,9415,340,3.61,6.67,77.94,68.62,72.0,36,6.63,11.29,12.1,77,20,240,3
2020-04-23,9766,361,3.7,7.08,77.84,68.62,72.0,38,6.99,11.37,12.23,81,20,257,3
2020-04-24,10106,402,3.98,7.88,77.11,68.62,72.0,43,6.92,11.95,11.38,85,23,291,3
2020-04-25,10373,438,4.22,8.59,75.8,68.62,72.0,46,6.96,11.44,12.02,92,25,318,3
2020-04-26,10566,488,4.62,9.57,75.2,68.62,72.0,48,6.75,11.32,11.77,102,25,357,4
2020-04-27,10770,521,4.84,10.22,75.24,68.62,72.0,57,6.76,11.85,11.37,106,25,386,4
2020-04-28,10873,555,5.1,10.88,75.68,68.62,72.0,65,6.62,11.69,11.36,111,25,415,4
2020-04-29,11015,599,5.44,11.75,75.46,68.62,72.0,89,6.53,11.6,11.32,121,30,444,4
2020-04-30,11156,647,5.8,12.69,74.34,68.62,72.0,116,6.59,11.51,11.47,130,34,479,4
2020-05-01,11282,688,6.1,13.49,73.26,68.62,72.0,136,6.61,11.59,11.45,134,41,509,4
2020-05-02,11327,710,6.27,13.92,72.68,68.62,72.0,163,6.71,11.51,11.73,140,42,524,4
2020-05-03,11361,740,6.51,14.51,72.84,68.62,72.0,188,6.75,11.49,11.86,145,42,548,5
2020-05-04,11384,757,6.65,14.84,73.05,68.62,71.0,212,6.74,11.49,11.93,150,42,559,6
2020-05-05,11384,764,6.71,14.98,73.17,68.62,71.0,217,6.72,11.47,11.97,153,42,563,6
