Data,Casos confirmados,Total obitos,Letalidade (%),Media Obitos por Dia,Comorbidade (%),Idade media obito,Idade mediana obito,Obitos suspeitos,Dias entre inicio sintomas ate internacao,Dias entre inicio sintomas ate resultado do exame,Dias entre inicio sintomas ate obito,Obitos na hospital,Obitos na residencia,Obitos sem informacao local
2020-03-24,1030,2,0.19,0.06,100,65.96,62.5,3,,4.0,4.5,2,0,0
2020-03-25,1181,3,0.25,0.1,100,65.96,53.0,3,20.0,4.17,14.5,3,0,0
2020-03-26,1312,6,0.46,0.19,83.33,65.96,72.0,3,17.0,5.78,13.57,6,0,0
2020-03-27,1413,9,0.64,0.29,77.78,65.96,78.0,3,17.0,13.33,6.25,8,1,0
2020-03-28,1480,11,0.74,0.35,81.82,65.96,71.5,3,14.17,12.36,6.29,10,1,0
2020-03-29,1544,14,0.91,0.45,85.71,65.96,71.0,3,11.63,12.79,6.47,12,2,0
2020-03-30,1668,17,1.02,0.55,88.24,65.96,68.0,3,10.89,13.47,7.15,15,2,0
2020-03-31,1733,20,1.15,0.65,90,65.96,65.0,4,9.45,7.17,13.42,18,2,0
2020-04-01,1813,22,1.21,0.71,90.91,65.96,71.0,4,11.06,15.21,10.94,20,2,0
2020-04-02,1887,30,1.59,0.97,80,65.96,71.0,5,9.57,11.09,13.56,27,3,0
2020-04-03,1957,38,1.94,1.23,76.32,65.96,74.0,6,8.81,13.76,11.13,35,3,0
2020-04-04,2021,45,2.23,1.45,80,65.96,73.5,7,8.38,13.39,10.75,42,3,0
2020-04-05,2049,52,2.54,1.68,82.69,65.96,73.0,13,8.1,10.72,13.69,47,5,0
2020-04-06,2104,61,2.9,1.97,81.97,65.96,72.5,17,8.0,10.69,13.07,56,5,0
2020-04-07,2157,67,3.11,2.16,83.58,65.96,73.0,19,7.63,12.9,10.64,62,5,0
2020-04-08,2214,73,3.3,2.35,84.93,65.96,72.5,25,7.8,13.06,10.93,68,5,0
2020-04-09,2243,81,3.61,2.61,82.72,65.96,72.5,30,7.7,10.88,12.85,76,5,0
2020-04-10,2253,91,4.04,2.94,82.42,65.96,71.5,35,7.47,12.56,10.68,86,5,0
2020-04-11,2262,99,4.38,3.19,81.82,65.96,73.0,44,6.27,11.86,10.58,94,5,0
2020-04-12,2269,107,4.72,3.45,82.24,65.96,72.0,51,6.53,10.91,12.09,100,5,2
2020-04-13,2274,112,4.93,3.61,80.36,65.96,71.0,60,6.63,12.11,11.11,105,5,2
2020-04-14,2290,122,5.33,3.94,81.97,65.96,71.0,70,6.22,11.69,11.21,115,5,2
2020-04-15,2291,124,5.41,4,82.26,65.96,71.0,77,6.08,11.68,11.16,117,5,2
