Data,Casos confirmados,Total obitos,Letalidade (%),Media Obitos por Dia,Comorbidade (%),Idade media obito,Idade mediana obito,Obitos suspeitos,Dias entre inicio sintomas ate internacao,Dias entre inicio sintomas ate resultado do exame,Dias entre inicio sintomas ate obito,Obitos na hospital,Obitos na residencia,Obitos sem informacao local
2020-03-24,1203,2,0.17,0.06,100,64.65,62.5,0,,,36.0,2,0,0
2020-03-25,1395,4,0.29,0.11,100,64.65,62.0,0,5.0,-9.0,12.5,4,0,0
2020-03-26,1568,7,0.45,0.19,85.71,64.65,83.0,0,5.0,-9.0,12.5,7,0,0
2020-03-27,1709,10,0.59,0.28,80,64.65,83.5,0,5.0,-1.5,8.33,9,1,0
2020-03-28,1807,12,0.66,0.33,83.33,64.65,77.5,0,5.0,8.33,-1.5,11,1,0
2020-03-29,1898,16,0.84,0.44,81.25,64.65,73.0,0,5.67,8.0,8.4,14,2,0
2020-03-30,2015,19,0.94,0.53,84.21,64.65,74.0,0,5.67,10.8,9.71,17,2,0
2020-03-31,2115,22,1.04,0.61,86.36,64.65,73.0,0,4.33,8.4,10.75,20,2,0
2020-04-01,2242,24,1.07,0.67,87.5,64.65,74.5,0,4.33,10.75,9.45,22,2,0
2020-04-02,2337,32,1.37,0.89,78.13,64.65,73.0,0,3.22,10.91,9.0,29,3,0
2020-04-03,2418,40,1.65,1.11,75,64.65,74.5,0,4.54,11.94,9.45,37,3,0
2020-04-04,2498,47,1.88,1.31,78.72,64.65,74.0,0,4.59,11.17,8.68,44,3,0
2020-04-05,2567,55,2.14,1.53,81.82,64.65,74.0,2,4.74,9.24,12.41,50,5,0
2020-04-06,2629,65,2.47,1.81,81.54,64.65,73.0,2,5.42,12.17,9.49,60,5,0
2020-04-07,2696,71,2.63,1.97,83.1,64.65,73.0,2,5.24,11.71,9.45,66,5,0
2020-04-08,2769,78,2.82,2.17,84.62,64.65,73.0,4,5.32,9.78,11.85,73,5,0
2020-04-09,2816,89,3.16,2.47,83.15,64.65,73.0,7,5.46,11.56,9.63,84,5,0
2020-04-10,2856,101,3.54,2.81,83.17,64.65,73.0,9,6.49,12.18,10.25,96,5,0
2020-04-11,2922,113,3.87,3.14,82.3,64.65,73.0,10,6.79,10.39,12.26,108,5,0
2020-04-12,2976,123,4.13,3.42,82.11,64.65,73.0,13,7.06,12.32,10.62,116,5,2
2020-04-13,3092,130,4.2,3.61,80,64.65,72.0,14,7.07,12.23,10.92,123,5,2
2020-04-14,3202,148,4.62,4.11,81.76,64.65,71.0,18,6.98,11.94,11.21,141,5,2
2020-04-15,3268,161,4.93,4.47,81.99,64.65,71.0,26,6.92,12.13,11.24,154,5,2
2020-04-16,3290,167,5.08,4.64,82.04,64.65,71.0,43,6.8100000000000005,12.0,11.48,160,5,2
2020-04-17,3305,181,5.48,5.03,81.22,64.65,71.0,52,6.54,11.8,11.79,174,5,2
2020-04-18,3306,187,5.66,5.19,80.75,64.65,70.0,60,6.6,11.99,11.81,180,5,2
2020-04-19,3306,189,5.72,5.25,80.42,64.65,70.0,62,6.53,11.96,11.75,182,5,2
2020-04-20,3306,189,5.72,5.25,80.42,64.65,70.0,62,6.53,11.96,11.75,182,5,2
