Data,Casos confirmados,Total obitos,Letalidade (%),Media Obitos por Dia,Comorbidade (%),Idade media obito,Idade mediana obito,Obitos suspeitos,Dias entre inicio sintomas ate internacao,Dias entre inicio sintomas ate resultado do exame,Dias entre inicio sintomas ate obito,Obitos no hospital,Obitos na residencia,Obitos sem informacao local
2020-03-24,1396,3,0.21,0.06,100,69.08,84.0,0,,36.0,,0,0,0
2020-03-25,1580,5,0.32,0.1,100,69.08,83.0,0,,,20.0,0,0,0
2020-03-26,1752,8,0.46,0.17,87.5,69.08,83.5,0,,20.0,,0,0,0
2020-03-27,1893,11,0.58,0.23,81.82,69.08,84.0,0,6.0,11.75,9.0,0,0,0
2020-03-28,2001,13,0.65,0.27,84.62,69.08,83.0,0,6.0,9.0,11.75,0,0,0
2020-03-29,2094,17,0.81,0.35,82.35,69.08,74.0,0,4.5,12.25,9.14,0,0,0
2020-03-30,2230,21,0.94,0.44,80.95,69.08,77.0,0,4.5,13.8,9.6,0,0,0
2020-03-31,2349,24,1.02,0.5,83.33,69.08,75.5,0,4.5,12.57,8.62,0,0,0
2020-04-01,2549,26,1.02,0.54,84.62,69.08,76.0,0,4.5,12.57,9.43,0,0,0
2020-04-02,2690,35,1.3,0.73,74.29,69.08,75.0,0,3.38,12.73,9.19,0,0,0
2020-04-03,2814,44,1.56,0.92,70.45,69.08,75.0,0,4.85,13.0,9.48,0,0,0
2020-04-04,2965,51,1.72,1.06,74.51,69.08,74.0,0,5.0,8.86,12.27,0,0,0
2020-04-05,3116,59,1.89,1.23,77.97,69.08,74.0,2,5.16,13.52,9.34,0,0,0
2020-04-06,3300,71,2.15,1.48,78.87,69.08,74.0,2,5.65,9.39,13.41,0,0,0
2020-04-07,3506,78,2.22,1.63,80.77,69.08,73.5,2,5.72,9.26,12.77,0,0,0
2020-04-08,3738,85,2.27,1.77,82.35,69.08,73.0,3,5.8100000000000005,12.78,9.49,0,0,0
2020-04-09,3984,97,2.43,2.02,80.41,69.08,74.0,5,5.83,12.68,9.29,0,0,0
2020-04-10,4317,109,2.52,2.27,80.73,69.08,74.0,5,6.89,9.91,13.28,0,0,0
2020-04-11,4622,122,2.64,2.54,80.33,69.08,74.0,6,7.05,13.29,10.13,0,0,0
2020-04-12,4930,136,2.76,2.83,80.15,69.08,74.0,6,7.42,10.28,13.44,0,0,0
2020-04-13,5310,143,2.69,2.98,78.32,69.08,73.0,6,7.32,10.5,13.25,0,0,0
2020-04-14,5639,163,2.89,3.4,79.75,69.08,73.0,6,7.38,12.67,10.97,0,0,0
2020-04-15,5966,180,3.02,3.75,80,69.08,71.0,9,7.19,12.37,10.83,0,0,0
2020-04-16,6249,195,3.12,4.06,81.03,69.08,72.0,12,7.05,12.39,10.85,0,0,0
2020-04-17,6534,217,3.32,4.52,80.65,69.08,72.0,15,6.78,12.22,11.06,0,0,0
2020-04-18,6756,230,3.4,4.79,80.43,69.08,72.0,24,6.86,12.31,11.14,0,0,0
2020-04-19,6968,253,3.63,5.27,79.84,69.08,72.0,31,6.78,11.14,12.11,0,0,0
2020-04-20,7257,281,3.87,5.85,79.72,69.08,72.0,35,6.43,12.08,11.46,0,0,0
2020-04-21,7419,305,4.11,6.35,78.03,69.08,72.0,40,6.57,12.04,11.6,0,0,0
2020-04-22,7584,326,4.3,6.79,77.91,69.08,72.0,46,6.58,11.8,11.44,0,0,0
2020-04-23,7684,346,4.5,7.21,78.03,69.08,72.0,49,6.96,11.49,11.97,0,0,0
2020-04-24,7784,382,4.91,7.96,77.23,69.08,72.0,59,6.91,11.45,11.71,0,0,0
2020-04-25,7843,412,5.25,8.58,76.21,69.08,72.0,68,6.98,11.53,11.74,0,0,0
2020-04-26,7896,450,5.7,9.38,75.33,69.08,72.0,86,6.78,11.59,11.41,0,0,0
2020-04-27,7917,472,5.96,9.83,75.21,69.08,72.0,105,6.8,11.59,11.45,0,0,0
2020-04-28,7946,493,6.2,10.27,75.46,69.08,72.0,126,6.72,11.53,11.53,0,0,0
2020-04-29,7976,514,6.44,10.71,75.29,69.08,72.0,166,6.66,11.49,11.54,0,0,0
2020-04-30,8000,534,6.68,11.13,75.09,69.08,72.0,198,6.7,11.72,11.46,0,0,0
2020-05-01,8000,539,6.74,11.23,74.95,69.08,72.0,207,6.72,11.42,11.73,0,0,0
2020-05-02,8000,539,6.74,11.23,74.95,69.08,72.0,207,6.72,11.42,11.73,0,0,0
