Data,Casos confirmados,Total obitos,Letalidade (%),Media Obitos por Dia,Tempo Medio Internacao ao Obito,Comorbidade (%),Idade media obito,Idade mediana obito,Obitos suspeitos,Dias entre inicio sintomas ate internacao,Dias entre inicio sintomas ate resultado do exame,Dias entre inicio sintomas ate obito,Obitos na hospital,Obitos na residencia,Obitos sem informacao local
2020-03-24,945,3,0.32,0.1,0,66.67,67.61,56.0,2,,4.0,4.5,2,0,1
2020-03-25,1080,4,0.37,0.14,0,75,67.61,60.5,2,20.0,5.33,4.25,2,0,2
2020-03-26,1176,7,0.6,0.24,0,71.43,67.61,72.0,2,12.5,8.83,6.29,5,0,2
2020-03-27,1262,10,0.79,0.34,0,70,67.61,78.0,2,12.5,9.75,6.7,7,1,2
2020-03-28,1322,12,0.91,0.41,0,75,67.61,71.5,2,8.33,9.4,6.67,9,1,2
2020-03-29,1380,15,1.09,0.52,0.0,80,67.61,71.0,2,6.6,10.54,6.8,11,2,2
2020-03-30,1489,18,1.21,0.62,0.67,83.33,67.61,71.5,2,5.5,11.38,7.22,14,2,2
2020-03-31,1546,21,1.36,0.72,1.13,85.71,67.61,71.0,3,4.88,7.24,11.56,17,2,2
2020-04-01,1612,23,1.43,0.79,1.89,86.96,67.61,72.0,3,5.89,12.11,8.42,19,2,2
2020-04-02,1669,30,1.8,1.03,3.33,80,67.61,73.5,4,5.5,11.79,9.36,25,3,2
2020-04-03,1731,37,2.14,1.28,4.41,75.68,67.61,75.0,6,5.53,9.77,12.45,32,3,2
2020-04-04,1768,44,2.49,1.52,4.05,79.55,67.61,74.5,7,5.4,12.17,9.42,39,3,2
2020-04-05,1792,50,2.79,1.72,4.0,82,67.61,74.5,13,5.29,9.48,12.48,43,5,2
2020-04-06,1837,59,3.21,2.03,4.61,81.36,67.61,74.0,17,5.35,9.62,11.87,52,5,2
2020-04-07,1878,65,3.46,2.24,4.57,83.08,67.61,73.0,19,5.22,9.63,11.73,58,5,2
2020-04-08,1915,71,3.71,2.45,4.55,84.51,67.61,73.0,24,5.7,12.0,10.08,64,5,2
2020-04-09,1928,79,4.1,2.72,4.52,82.28,67.61,73.0,28,5.69,11.82,10.1,72,5,2
2020-04-10,1933,87,4.5,3,4.54,83.91,67.61,72.0,34,5.65,11.64,10.24,80,5,2
2020-04-11,1934,94,4.86,3.24,4.67,82.98,67.61,73.0,41,5.51,10.16,11.38,87,5,2
2020-04-12,1934,99,5.12,3.41,4.67,82.83,67.61,73.0,48,5.51,11.49,10.32,92,5,2
2020-04-13,1935,101,5.22,3.48,5.03,82.18,67.61,72.0,52,5.47,11.56,10.45,94,5,2
