Data,Casos confirmados,Total obitos,Letalidade (%),Media Obitos por Dia,Comorbidade (%),Idade media obito,Idade mediana obito,Obitos suspeitos,Dias entre inicio sintomas ate internacao,Dias entre inicio sintomas ate resultado do exame,Dias entre inicio sintomas ate obito,Obitos hospitais privados,Obitos na residencia,Obitos hospitais publicos,Obitos sem informacao local
2020-03-24,1519,5,0.33,0.09,80,68.23,68.0,0,4,36,21,2,1,2,0
2020-03-25,1724,7,0.41,0.13,85.71,68.23,68.0,0,4,36,21,2,2,3,0
2020-03-26,1912,10,0.52,0.18,80,68.23,77.5,0,4,36,21,4,2,4,0
2020-03-27,2061,13,0.63,0.24,76.92,68.23,83.0,0,5.0,14.33,16.2,4,3,6,0
2020-03-28,2180,15,0.69,0.27,80,68.23,72.0,0,5.0,16.2,14.33,5,3,7,0
2020-03-29,2294,19,0.83,0.35,78.95,68.23,72.0,0,4.4,15.38,9.86,7,4,8,0
2020-03-30,2446,23,0.94,0.42,78.26,68.23,74.0,0,4.4,10.1,15.89,10,4,9,0
2020-03-31,2570,26,1.01,0.47,80.77,68.23,73.0,0,4.43,14.73,9.0,11,4,11,0
2020-04-01,2790,28,1,0.51,82.14,68.23,74.5,0,4.43,14.73,9.79,12,4,12,0
2020-04-02,2939,37,1.26,0.67,72.97,68.23,74.0,0,3.44,14.27,9.43,16,7,14,0
2020-04-03,3075,46,1.5,0.84,69.57,68.23,75.0,0,4.79,14.3,9.66,18,7,21,0
2020-04-04,3236,53,1.64,0.96,73.58,68.23,74.0,0,4.94,13.4,9.17,18,7,28,0
2020-04-05,3425,61,1.78,1.11,77.05,68.23,74.0,2,5.1,14.33,9.6,18,9,34,0
2020-04-06,3634,73,2.01,1.33,78.08,68.23,74.0,2,5.58,9.6,14.11,21,10,42,0
2020-04-07,3855,80,2.08,1.45,80,68.23,73.0,2,5.65,13.47,9.44,24,10,46,0
2020-04-08,4113,88,2.14,1.6,81.82,68.23,73.0,2,5.74,13.46,9.52,27,10,51,0
2020-04-09,4397,100,2.27,1.82,80,68.23,74.0,4,5.77,9.32,13.2,30,11,59,0
2020-04-10,4810,112,2.33,2.04,80.36,68.23,73.5,4,7.14,9.92,13.7,34,11,67,0
2020-04-11,5163,125,2.42,2.27,80,68.23,74.0,5,6.75,13.12,9.93,36,12,77,0
2020-04-12,5531,139,2.51,2.53,79.86,68.23,74.0,5,7.4,13.64,10.21,38,14,87,0
2020-04-13,5977,146,2.44,2.65,78.08,68.23,73.0,5,7.15,10.36,13.31,40,14,92,0
2020-04-14,6451,166,2.57,3.02,79.52,68.23,73.0,5,7.22,10.84,13.16,45,14,107,0
2020-04-15,6952,184,2.65,3.35,79.89,68.23,71.0,7,7.05,10.61,12.65,50,14,120,0
2020-04-16,7396,200,2.7,3.64,80.5,68.23,71.5,9,6.87,10.74,12.55,51,15,134,0
2020-04-17,7916,223,2.82,4.05,80.27,68.23,72.0,10,6.64,10.94,12.37,56,16,151,0
2020-04-18,8411,240,2.85,4.36,80,68.23,72.0,15,6.75,12.48,10.95,58,17,165,0
2020-04-19,8976,263,2.93,4.78,79.47,68.23,72.0,23,6.64,12.26,10.97,64,19,180,0
2020-04-20,9802,295,3.01,5.36,79.66,68.23,72.0,24,6.27,12.43,11.29,71,20,204,0
2020-04-21,10367,320,3.09,5.82,77.81,68.23,72.0,28,6.38,11.43,12.33,76,22,222,0
2020-04-22,10947,343,3.13,6.24,77.55,68.23,72.0,33,6.38,12.06,11.25,77,23,243,0
2020-04-23,11518,365,3.17,6.64,77.53,68.23,72.0,36,6.69,12.2,11.35,81,23,261,0
2020-04-24,12160,409,3.36,7.44,76.77,68.23,72.0,41,6.74,11.3,11.95,85,26,298,0
2020-04-25,12766,447,3.5,8.13,75.17,68.23,72.0,47,6.79,12.0,11.34,92,29,326,0
2020-04-26,13233,498,3.76,9.05,74.7,68.23,72.0,50,6.6,11.22,11.74,102,29,367,0
2020-04-27,13687,537,3.92,9.76,74.49,68.23,72.0,57,6.63,11.18,11.71,106,29,402,0
2020-04-28,14054,576,4.1,10.47,74.65,68.23,72.0,65,6.46,11.52,11.2,111,29,436,0
2020-04-29,14318,633,4.42,11.51,74.25,68.23,72.0,77,6.41,11.47,11.13,122,34,477,0
2020-04-30,14579,697,4.78,12.67,73.17,68.23,72.0,92,6.46,11.13,11.36,132,38,527,0
2020-05-01,14740,750,5.09,13.64,71.87,68.23,72.0,115,6.49,11.15,11.25,136,45,569,0
2020-05-02,14868,805,5.41,14.64,71.3,68.23,72.0,135,6.52,11.27,11.37,143,50,612,0
2020-05-03,14955,858,5.74,15.6,71.21,68.23,72.0,163,6.64,11.43,11.38,152,55,651,0
2020-05-04,15053,907,6.03,16.49,70.78,68.23,71.0,193,6.65,11.57,11.45,162,58,687,0
2020-05-05,15139,958,6.33,17.42,70.88,68.23,71.0,220,6.57,11.35,11.78,175,64,719,0
2020-05-06,15192,986,6.49,17.93,70.69,68.23,71.0,261,6.54,11.92,11.33,182,71,733,0
2020-05-07,15224,1008,6.62,18.33,70.54,68.23,71.0,289,6.53,11.97,11.33,187,71,750,0
2020-05-08,15243,1017,6.67,18.49,70.5,68.23,71.0,299,6.52,11.99,11.33,188,71,758,0
2020-05-09,15243,1017,6.67,18.49,70.5,68.23,71.0,299,6.52,11.33,11.99,188,71,758,0
