Data,Casos confirmados,Total obitos,Letalidade (%),Media Obitos por Dia,Comorbidade (%),Idade media obito,Idade mediana obito,Obitos suspeitos,Dias entre inicio sintomas ate internacao,Dias entre inicio sintomas ate resultado do exame,Dias entre inicio sintomas ate obito,Obitos na hospital,Obitos na residencia,Obitos sem informacao local
2020-03-24,1376,2,0.15,0.05,100,68.59,62.5,0,,,6.0,2,0,0
2020-03-25,1562,4,0.26,0.09,100,68.59,74.0,0,,,5.0,4,0,0
2020-03-26,1732,7,0.4,0.16,85.71,68.59,83.0,0,,5.0,,7,0,0
2020-03-27,1871,10,0.53,0.23,80,68.59,83.5,0,,6.0,4.25,9,1,0
2020-03-28,1975,12,0.61,0.28,83.33,68.59,77.5,0,,5.0,6.0,11,1,0
2020-03-29,2066,16,0.77,0.37,81.25,68.59,73.0,0,3.5,10.33,5.25,14,2,0
2020-03-30,2200,20,0.91,0.47,80,68.59,75.5,0,3.5,12.75,6.92,18,2,0
2020-03-31,2318,23,0.99,0.53,82.61,68.59,74.0,0,3.2,6.6,11.86,21,2,0
2020-04-01,2506,25,1,0.58,84,68.59,75.0,0,3.2,11.86,7.44,23,2,0
2020-04-02,2645,34,1.29,0.79,73.53,68.59,74.5,0,3.17,12.63,7.95,31,3,0
2020-04-03,2765,42,1.52,0.98,71.43,68.59,75.0,0,4.9,8.76,13.43,39,3,0
2020-04-04,2908,49,1.69,1.14,75.51,68.59,74.0,0,4.69,11.84,8.23,46,3,0
2020-04-05,3053,57,1.87,1.33,78.95,68.59,74.0,2,4.87,12.68,8.83,52,5,0
2020-04-06,3223,68,2.11,1.58,79.41,68.59,74.0,2,5.38,12.46,8.96,63,5,0
2020-04-07,3422,75,2.19,1.74,81.33,68.59,73.0,2,5.08,11.94,8.95,70,5,0
2020-04-08,3644,82,2.25,1.91,82.93,68.59,73.0,3,5.0,9.22,11.87,77,5,0
2020-04-09,3870,93,2.4,2.16,81.72,68.59,74.0,5,5.2,11.41,9.15,88,5,0
2020-04-10,4147,105,2.53,2.44,81.9,68.59,73.0,5,6.36,9.71,12.1,100,5,0
2020-04-11,4417,117,2.65,2.72,81.2,68.59,74.0,6,6.63,12.33,9.8,112,5,0
2020-04-12,4687,130,2.77,3.02,81.54,68.59,74.0,7,7.02,12.5,10.0,123,5,2
2020-04-13,5011,137,2.73,3.19,79.56,68.59,73.0,7,7.02,12.41,10.24,130,5,2
2020-04-14,5281,156,2.95,3.63,81.41,68.59,73.0,7,6.97,12.24,10.58,149,5,2
2020-04-15,5549,173,3.12,4.02,81.5,68.59,71.0,10,6.77,12.15,10.49,166,5,2
2020-04-16,5759,188,3.26,4.37,82.45,68.59,71.5,13,6.61,12.37,10.55,181,5,2
2020-04-17,5959,210,3.52,4.88,81.9,68.59,72.0,17,6.52,12.23,10.81,203,5,2
2020-04-18,6108,222,3.63,5.16,81.08,68.59,72.0,26,6.61,12.24,10.98,215,5,2
2020-04-19,6221,245,3.94,5.7,80.41,68.59,72.0,32,6.67,11.05,12.21,238,5,2
2020-04-20,6369,270,4.24,6.28,80,68.59,72.0,38,6.55,12.18,11.42,263,5,2
2020-04-21,6478,292,4.51,6.79,78.42,68.59,72.0,44,6.64,11.57,12.11,285,5,2
2020-04-22,6600,311,4.71,7.23,78.46,68.59,72.0,50,6.63,11.48,11.93,304,5,2
2020-04-23,6665,329,4.94,7.65,78.72,68.59,72.0,57,7.27,11.55,11.93,322,5,2
2020-04-24,6717,355,5.29,8.26,77.75,68.59,72.0,70,7.34,11.63,11.77,348,5,2
2020-04-25,6751,377,5.58,8.77,76.39,68.59,72.0,85,7.45,11.81,11.84,370,5,2
2020-04-26,6781,394,5.81,9.16,75.89,68.59,72.0,110,7.36,11.91,11.85,387,5,2
2020-04-27,6783,397,5.85,9.23,75.82,68.59,72.0,116,7.37,11.83,11.93,390,5,2
