Data,Casos confirmados,Total obitos,Letalidade (%),Media Obitos por Dia,Comorbidade (%),Idade media obito,Idade mediana obito,Obitos suspeitos,Dias entre inicio sintomas ate internacao,Dias entre inicio sintomas ate resultado do exame,Dias entre inicio sintomas ate obito,Obitos na hospital,Obitos na residencia,Obitos sem informacao local
2020-03-24,1156,2,0.17,0.06,100,65.23,62.5,3,,36.0,,2,0,0
2020-03-25,1337,4,0.3,0.12,100,65.23,62.0,3,5.0,12.5,-9.0,4,0,0
2020-03-26,1497,7,0.47,0.21,85.71,65.23,83.0,3,5.0,12.5,-9.0,7,0,0
2020-03-27,1623,10,0.62,0.29,80,65.23,83.5,3,5.0,8.33,-1.5,9,1,0
2020-03-28,1706,12,0.7,0.35,83.33,65.23,77.5,3,5.0,8.33,-1.5,11,1,0
2020-03-29,1778,16,0.9,0.47,81.25,65.23,73.0,3,5.67,8.4,8.0,14,2,0
2020-03-30,1868,19,1.02,0.56,84.21,65.23,74.0,3,5.67,10.8,9.71,17,2,0
2020-03-31,1944,22,1.13,0.65,86.36,65.23,73.0,3,4.33,10.75,8.4,20,2,0
2020-04-01,2030,24,1.18,0.71,87.5,65.23,74.5,3,4.33,10.75,9.45,22,2,0
2020-04-02,2102,32,1.52,0.94,78.13,65.23,73.0,3,3.22,10.91,9.0,29,3,0
2020-04-03,2164,40,1.85,1.18,75,65.23,74.5,3,4.54,11.94,9.45,37,3,0
2020-04-04,2223,47,2.11,1.38,78.72,65.23,74.0,3,4.59,8.68,11.17,44,3,0
2020-04-05,2268,54,2.38,1.59,81.48,65.23,74.0,6,4.74,12.18,9.3,49,5,0
2020-04-06,2314,63,2.72,1.85,80.95,65.23,74.0,8,5.42,11.97,9.56,58,5,0
2020-04-07,2362,69,2.92,2.03,82.61,65.23,73.0,9,5.24,11.51,9.51,64,5,0
2020-04-08,2421,75,3.1,2.21,84,65.23,73.0,12,5.32,11.55,9.9,70,5,0
2020-04-09,2460,84,3.41,2.47,82.14,65.23,73.0,16,5.46,11.29,9.77,79,5,0
2020-04-10,2496,94,3.77,2.76,82.98,65.23,72.5,19,6.49,11.97,10.49,89,5,0
2020-04-11,2546,104,4.08,3.06,82.69,65.23,73.0,23,6.63,10.58,11.83,99,5,0
2020-04-12,2590,114,4.4,3.35,82.46,65.23,73.0,26,6.9,11.7,10.65,107,5,2
2020-04-13,2658,120,4.51,3.53,80.83,65.23,72.5,33,6.93,11.64,10.98,113,5,2
2020-04-14,2736,135,4.93,3.97,82.96,65.23,71.0,44,6.86,11.41,11.29,128,5,2
2020-04-15,2741,141,5.14,4.15,83.69,65.23,71.0,63,6.83,11.53,11.31,134,5,2
2020-04-16,2746,147,5.35,4.32,83.67,65.23,71.0,78,6.77,11.45,11.59,140,5,2
2020-04-17,2747,155,5.64,4.56,83.87,65.23,71.0,81,6.63,11.37,11.69,148,5,2
2020-04-18,2747,155,5.64,4.56,83.87,65.23,71.0,81,6.63,11.37,11.69,148,5,2
