Data,Casos confirmados,Total obitos,Letalidade (%),Media Obitos por Dia,Comorbidade (%),Idade media obito,Idade mediana obito,Obitos suspeitos,Dias entre inicio sintomas ate internacao,Dias entre inicio sintomas ate resultado do exame,Dias entre inicio sintomas ate obito,Obitos no hospital,Obitos na residencia,Obitos sem informacao local
2020-03-24,1403,4,0.29,0.08,100,68.83,76.0,0,,11.0,36.0,0,0,0
2020-03-25,1592,6,0.38,0.12,100,68.83,75.5,0,,20.0,11.0,0,0,0
2020-03-26,1770,9,0.51,0.18,88.89,68.83,83.0,0,,20.0,11.0,0,0,0
2020-03-27,1910,12,0.63,0.24,83.33,68.83,83.5,0,6.0,11.75,9.67,0,0,0
2020-03-28,2017,14,0.69,0.29,85.71,68.83,77.5,0,6.0,9.67,11.75,0,0,0
2020-03-29,2114,18,0.85,0.37,83.33,68.83,73.0,0,4.5,9.13,11.83,0,0,0
2020-03-30,2252,22,0.98,0.45,81.82,68.83,75.5,0,4.5,13.29,9.73,0,0,0
2020-03-31,2371,25,1.05,0.51,84,68.83,74.0,0,4.5,8.79,12.44,0,0,0
2020-04-01,2571,27,1.05,0.55,85.19,68.83,75.0,0,4.5,9.53,12.44,0,0,0
2020-04-02,2712,36,1.33,0.73,75,68.83,74.5,0,3.38,12.62,9.27,0,0,0
2020-04-03,2837,45,1.59,0.92,71.11,68.83,75.0,0,4.85,12.89,9.53,0,0,0
2020-04-04,2993,52,1.74,1.06,75,68.83,74.0,0,5.0,12.25,8.92,0,0,0
2020-04-05,3144,60,1.91,1.22,78.33,68.83,74.0,2,5.16,9.38,13.41,0,0,0
2020-04-06,3333,72,2.16,1.47,79.17,68.83,74.0,2,5.65,13.32,9.42,0,0,0
2020-04-07,3537,79,2.23,1.61,81.01,68.83,73.0,2,5.72,12.73,9.29,0,0,0
2020-04-08,3773,87,2.31,1.78,82.76,68.83,73.0,2,5.8100000000000005,12.74,9.37,0,0,0
2020-04-09,4025,99,2.46,2.02,80.81,68.83,74.0,4,5.83,9.19,12.57,0,0,0
2020-04-10,4367,111,2.54,2.27,81.08,68.83,74.0,4,6.97,9.79,13.2,0,0,0
2020-04-11,4675,124,2.65,2.53,80.65,68.83,74.0,5,7.29,10.1,13.22,0,0,0
2020-04-12,4992,138,2.76,2.82,80.43,68.83,74.0,5,7.64,13.38,10.2,0,0,0
2020-04-13,5376,145,2.7,2.96,78.62,68.83,73.0,5,7.52,10.42,13.2,0,0,0
2020-04-14,5706,165,2.89,3.37,80,68.83,73.0,5,7.54,10.89,12.74,0,0,0
2020-04-15,6042,183,3.03,3.73,80.33,68.83,71.0,7,7.31,12.46,10.75,0,0,0
2020-04-16,6331,199,3.14,4.06,80.9,68.83,71.0,9,7.09,12.51,10.87,0,0,0
2020-04-17,6633,222,3.35,4.53,80.63,68.83,72.0,11,6.83,12.34,11.05,0,0,0
2020-04-18,6866,238,3.47,4.86,80.67,68.83,72.0,18,6.94,11.06,12.37,0,0,0
2020-04-19,7088,261,3.68,5.33,80.08,68.83,72.0,26,6.85,11.06,12.16,0,0,0
2020-04-20,7401,291,3.93,5.94,80.07,68.83,72.0,28,6.49,12.13,11.37,0,0,0
2020-04-21,7571,316,4.17,6.45,78.16,68.83,72.0,32,6.62,11.5,12.08,0,0,0
2020-04-22,7750,338,4.36,6.9,78.11,68.83,72.0,37,6.61,11.87,11.32,0,0,0
2020-04-23,7869,359,4.56,7.33,77.99,68.83,72.0,39,6.98,12.04,11.4,0,0,0
2020-04-24,7997,398,4.98,8.12,77.39,68.83,72.0,46,6.92,11.77,11.42,0,0,0
2020-04-25,8076,430,5.32,8.78,76.28,68.83,72.0,53,6.99,11.45,11.8,0,0,0
2020-04-26,8142,479,5.88,9.78,75.57,68.83,72.0,56,6.78,11.31,11.65,0,0,0
2020-04-27,8182,508,6.21,10.37,75.39,68.83,72.0,68,6.78,11.64,11.32,0,0,0
2020-04-28,8219,537,6.53,10.96,75.98,68.83,72.0,80,6.69,11.36,11.44,0,0,0
2020-04-29,8258,569,6.89,11.61,75.4,68.83,72.0,114,6.62,11.33,11.41,0,0,0
2020-04-30,8282,610,7.37,12.45,74.43,68.83,72.0,138,6.68,11.35,11.47,0,0,0
2020-05-01,8309,634,7.63,12.94,73.82,68.83,72.0,151,6.69,11.26,11.54,0,0,0
2020-05-02,8309,638,7.68,13.02,73.51,68.83,72.0,156,6.74,11.26,11.58,0,0,0
2020-05-03,8309,638,7.68,13.02,73.51,68.83,72.0,156,6.74,11.58,11.26,0,0,0
