Data,Casos confirmados,Total obitos,Letalidade (%),Media Obitos por Dia,Comorbidade (%),Idade media obito,Idade mediana obito,Obitos suspeitos,Dias entre inicio sintomas ate internacao,Dias entre inicio sintomas ate resultado do exame,Dias entre inicio sintomas ate obito,Obitos hospitais privados,Obitos na residencia,Obitos hospitais publicos,Obitos sem informacao local
2020-03-24,1474,5,0.34,0.09,80,67.96,68.0,0,4,21,36,2,1,2,0
2020-03-25,1678,7,0.42,0.13,85.71,67.96,68.0,0,4,21,36,2,2,3,0
2020-03-26,1863,10,0.54,0.19,80,67.96,77.5,0,4,21,36,4,2,4,0
2020-03-27,2009,13,0.65,0.24,76.92,67.96,83.0,0,5.0,14.33,16.2,4,3,6,0
2020-03-28,2122,15,0.71,0.28,80,67.96,72.0,0,5.0,16.2,14.33,5,3,7,0
2020-03-29,2230,19,0.85,0.35,78.95,67.96,72.0,0,4.4,15.38,9.86,7,4,8,0
2020-03-30,2374,23,0.97,0.43,78.26,67.96,74.0,0,4.4,15.89,10.1,10,4,9,0
2020-03-31,2498,26,1.04,0.48,80.77,67.96,73.0,0,4.43,14.73,9.0,11,4,11,0
2020-04-01,2715,28,1.03,0.52,82.14,67.96,74.5,0,4.43,9.79,14.73,12,4,12,0
2020-04-02,2868,37,1.29,0.69,72.97,67.96,74.0,0,3.44,9.43,15.0,16,7,14,0
2020-04-03,2999,46,1.53,0.85,69.57,67.96,75.0,0,4.79,9.66,14.57,18,7,21,0
2020-04-04,3155,53,1.68,0.98,73.58,67.96,74.0,0,4.94,9.17,13.65,18,7,28,0
2020-04-05,3328,61,1.83,1.13,77.05,67.96,74.0,2,5.1,14.52,9.6,18,9,34,0
2020-04-06,3530,73,2.07,1.35,78.08,67.96,74.0,2,5.58,14.28,9.75,21,10,42,0
2020-04-07,3744,80,2.14,1.48,80,67.96,73.0,2,5.5600000000000005,9.57,13.64,24,10,46,0
2020-04-08,3999,88,2.2,1.63,81.82,67.96,73.0,2,5.64,13.63,9.64,27,10,51,0
2020-04-09,4283,100,2.33,1.85,80,67.96,74.0,4,5.68,9.41,13.35,30,11,59,0
2020-04-10,4679,112,2.39,2.07,80.36,67.96,73.5,4,7.03,13.82,10.01,34,11,67,0
2020-04-11,5027,125,2.49,2.31,80,67.96,74.0,5,6.67,13.23,10.01,36,12,77,0
2020-04-12,5396,139,2.58,2.57,79.86,67.96,74.0,5,7.31,10.23,13.68,38,14,87,0
2020-04-13,5832,146,2.5,2.7,78.08,67.96,73.0,5,7.5600000000000005,10.38,13.39,40,14,92,0
2020-04-14,6295,166,2.64,3.07,79.52,67.96,73.0,5,7.52,12.93,10.86,45,14,107,0
2020-04-15,6784,184,2.71,3.41,79.89,67.96,71.0,7,7.31,12.47,10.63,50,14,120,0
2020-04-16,7216,200,2.77,3.7,80.5,67.96,71.0,9,7.11,12.45,10.76,51,15,134,0
2020-04-17,7714,223,2.89,4.13,80.27,67.96,72.0,10,6.84,12.27,10.95,56,16,151,0
2020-04-18,8175,240,2.94,4.44,80,67.96,71.5,15,6.94,10.97,12.38,58,17,165,0
2020-04-19,8692,263,3.03,4.87,79.47,67.96,71.0,23,6.8100000000000005,12.19,10.98,64,19,180,0
2020-04-20,9427,294,3.12,5.44,79.59,67.96,71.5,25,6.47,12.32,11.31,71,20,203,0
2020-04-21,9929,319,3.21,5.91,77.74,67.96,71.0,29,6.57,12.23,11.45,76,22,221,0
2020-04-22,10445,342,3.27,6.33,77.49,67.96,72.0,34,6.5600000000000005,11.97,11.27,77,23,242,0
2020-04-23,10938,364,3.33,6.74,77.47,67.96,72.0,37,6.84,12.11,11.37,81,23,260,0
2020-04-24,11475,407,3.55,7.54,76.9,67.96,72.0,42,6.87,11.83,11.33,85,26,296,0
2020-04-25,11989,444,3.7,8.22,75.45,67.96,72.0,48,6.91,11.88,11.37,92,28,324,0
2020-04-26,12383,495,4,9.17,74.95,67.96,72.0,51,6.71,11.25,11.63,102,28,365,0
2020-04-27,12754,534,4.19,9.89,74.72,67.96,72.0,58,6.74,11.6,11.21,106,28,400,0
2020-04-28,13042,572,4.39,10.59,74.83,67.96,72.0,66,6.5600000000000005,11.45,11.18,111,28,433,0
2020-04-29,13257,623,4.7,11.54,74.48,67.96,72.0,84,6.48,11.38,11.12,122,33,468,0
2020-04-30,13452,677,5.03,12.54,73.41,67.96,72.0,108,6.53,11.22,11.17,132,37,508,0
2020-05-01,13559,728,5.37,13.48,72.12,67.96,72.0,134,6.59,11.17,11.1,136,44,548,0
2020-05-02,13650,762,5.58,14.11,71.65,67.96,71.0,170,6.68,11.17,11.33,142,45,575,0
2020-05-03,13710,804,5.86,14.89,71.52,67.96,71.0,203,6.79,11.46,11.11,151,48,605,0
2020-05-04,13782,837,6.07,15.5,71.45,67.96,71.0,242,6.84,11.15,11.57,161,49,627,0
2020-05-05,13850,877,6.33,16.24,71.61,67.96,71.0,270,6.76,11.05,11.82,173,49,655,0
2020-05-06,13876,895,6.45,16.57,71.73,67.96,71.0,298,6.76,11.08,11.93,179,50,666,0
2020-05-07,13888,903,6.5,16.72,71.65,67.96,71.0,304,6.75,11.96,11.08,181,50,672,0
2020-05-08,13888,903,6.5,16.72,71.65,67.96,71.0,304,6.75,11.08,11.96,181,50,672,0
