Data,Casos confirmados,Total obitos,Letalidade (%),Media Obitos por Dia,Tempo Medio Internacao ao Obito,Comorbidade (%),Idade media obito,Idade mediana obito,Obitos suspeitos,Dias entre inicio sintomas ate internacao,Dias entre inicio sintomas ate resultado do exame,Dias entre inicio sintomas ate obito,Obitos na hospital,Obitos na residencia,Obitos sem informacao local
2020-03-24,952,2,0.21,0.07,0,100,66.73,62.5,2,,4.5,4.0,2,0,0
2020-03-25,1091,3,0.27,0.1,0,100,66.73,65.0,2,20.0,5.33,4.2,3,0,0
2020-03-26,1192,6,0.5,0.2,0,83.33,66.73,78.0,2,12.5,8.83,6.0,6,0,0
2020-03-27,1279,9,0.7,0.3,0,77.78,66.73,84.0,2,12.5,6.45,9.75,8,1,0
2020-03-28,1339,11,0.82,0.37,0,81.82,66.73,72.0,2,8.33,6.46,9.4,10,1,0
2020-03-29,1398,14,1,0.47,0.0,85.71,66.73,71.5,2,6.6,6.63,10.54,12,2,0
2020-03-30,1508,17,1.13,0.57,0.67,88.24,66.73,71.0,2,6.33,11.69,7.32,15,2,0
2020-03-31,1566,20,1.28,0.67,1.13,90,66.73,68.0,3,5.5,7.32,11.83,18,2,0
2020-04-01,1635,22,1.35,0.73,1.89,90.91,66.73,71.5,3,6.44,12.85,9.5,20,2,0
2020-04-02,1695,29,1.71,0.97,3.33,82.76,66.73,72.0,5,5.92,12.08,10.24,27,2,0
2020-04-03,1757,36,2.05,1.2,4.41,77.78,66.73,75.0,7,5.82,12.64,10.47,34,2,0
2020-04-04,1797,43,2.39,1.43,4.05,81.4,66.73,74.0,8,5.65,12.34,10.07,41,2,0
2020-04-05,1821,49,2.69,1.63,4.0,83.67,66.73,74.0,15,5.52,10.06,12.62,45,4,0
2020-04-06,1869,58,3.1,1.93,4.61,82.76,66.73,73.5,19,5.57,10.11,12.02,54,4,0
2020-04-07,1912,64,3.35,2.13,4.57,84.38,66.73,73.0,21,5.41,11.88,10.09,60,4,0
2020-04-08,1952,70,3.59,2.33,4.55,85.71,66.73,73.0,27,5.87,12.13,10.48,66,4,0
2020-04-09,1966,78,3.97,2.6,4.52,83.33,66.73,73.0,31,5.84,11.95,10.46,74,4,0
2020-04-10,1972,85,4.31,2.83,4.54,84.71,66.73,72.0,38,5.79,11.76,10.65,81,4,0
2020-04-11,1973,92,4.66,3.07,4.67,83.7,66.73,73.0,46,5.66,11.33,10.54,88,4,0
2020-04-12,1973,98,4.97,3.27,4.67,83.67,66.73,73.0,54,5.66,10.67,11.38,94,4,0
2020-04-13,1975,102,5.16,3.4,5.26,81.37,66.73,72.0,59,5.57,11.49,10.92,98,4,0
2020-04-14,1975,103,5.22,3.43,5.26,81.55,66.73,72.0,59,5.57,11.47,10.93,99,4,0
