Data,Casos confirmados,Total obitos,Letalidade (%),Media Obitos por Dia,Comorbidade (%),Idade media obito,Idade mediana obito,Obitos suspeitos,Dias entre inicio sintomas ate internacao,Dias entre inicio sintomas ate resultado do exame,Dias entre inicio sintomas ate obito,Obitos hospitais privados,Obitos na residencia,Obitos hospitais publicos,Obitos sem informacao local
2020-03-24,1491,4,0.27,0.08,100,68.27,76.0,2,,11.0,36.0,2,1,1,0
2020-03-25,1681,6,0.36,0.12,100,68.27,75.5,2,,11.0,20.0,2,2,2,0
2020-03-26,1859,9,0.48,0.17,88.89,68.27,83.0,2,,11.0,20.0,4,2,3,0
2020-03-27,2004,12,0.6,0.23,83.33,68.27,83.5,2,6.0,9.67,11.0,4,3,5,0
2020-03-28,2114,14,0.66,0.27,85.71,68.27,77.5,2,6.0,9.67,11.0,5,3,6,0
2020-03-29,2212,18,0.81,0.35,83.33,68.27,73.0,2,4.5,11.83,9.0,7,4,7,0
2020-03-30,2356,22,0.93,0.42,81.82,68.27,75.5,2,4.5,13.0,9.45,10,4,8,0
2020-03-31,2478,25,1.01,0.48,84,68.27,74.0,2,4.5,12.22,8.57,11,4,10,0
2020-04-01,2680,27,1.01,0.52,85.19,68.27,75.0,2,4.5,12.22,9.33,12,4,11,0
2020-04-02,2825,36,1.27,0.69,75,68.27,74.5,2,3.38,13.31,9.14,16,6,13,1
2020-04-03,2951,45,1.52,0.87,71.11,68.27,75.0,2,4.85,9.43,13.37,18,6,20,1
2020-04-04,3111,52,1.67,1,75,68.27,74.0,2,5.0,12.63,8.83,18,6,27,1
2020-04-05,3267,60,1.84,1.15,78.33,68.27,74.0,4,5.16,13.72,9.31,18,8,33,1
2020-04-06,3463,72,2.08,1.38,79.17,68.27,74.0,4,5.65,13.53,9.37,21,9,41,1
2020-04-07,3674,79,2.15,1.52,81.01,68.27,73.0,4,5.72,12.92,9.24,24,9,45,1
2020-04-08,3921,87,2.22,1.67,82.76,68.27,73.0,4,5.8100000000000005,12.92,9.33,27,9,50,1
2020-04-09,4191,99,2.36,1.9,80.81,68.27,74.0,6,5.83,9.15,12.73,30,10,58,1
2020-04-10,4560,111,2.43,2.13,81.08,68.27,74.0,6,6.89,13.29,9.78,34,10,66,1
2020-04-11,4892,124,2.53,2.38,80.65,68.27,74.0,7,7.21,13.29,10.09,36,11,76,1
2020-04-12,5233,138,2.64,2.65,80.43,68.27,74.0,7,7.57,10.19,13.57,38,11,86,3
2020-04-13,5654,145,2.56,2.79,78.62,68.27,73.0,7,7.45,13.38,10.41,40,11,91,3
2020-04-14,6065,165,2.72,3.17,80,68.27,73.0,7,7.48,12.85,10.89,45,11,106,3
2020-04-15,6485,183,2.82,3.52,80.33,68.27,71.0,9,7.27,12.55,10.74,50,11,119,3
2020-04-16,6874,199,2.89,3.83,80.9,68.27,71.0,11,7.06,10.86,12.59,51,12,133,3
2020-04-17,7300,222,3.04,4.27,80.63,68.27,72.0,12,6.8,12.41,11.05,56,13,150,3
2020-04-18,7690,239,3.11,4.6,80.33,68.27,72.0,17,6.9,11.05,12.53,58,14,164,3
2020-04-19,8090,262,3.24,5.04,79.77,68.27,71.5,25,6.82,11.05,12.3,64,16,179,3
2020-04-20,8665,293,3.38,5.63,79.86,68.27,72.0,27,6.47,11.37,12.38,71,17,202,3
2020-04-21,9021,318,3.53,6.12,77.99,68.27,71.5,31,6.6,12.33,11.5,76,19,220,3
2020-04-22,9434,340,3.6,6.54,77.94,68.27,72.0,36,6.59,12.11,11.32,77,20,240,3
2020-04-23,9785,362,3.7,6.96,77.9,68.27,72.0,38,6.95,12.31,11.41,81,20,258,3
2020-04-24,10129,403,3.98,7.75,77.17,68.27,72.0,43,6.89,12.03,11.38,85,23,292,3
2020-04-25,10396,440,4.23,8.46,75.68,68.27,72.0,47,6.92,12.09,11.42,92,25,320,3
2020-04-26,10597,490,4.62,9.42,75.1,68.27,72.0,49,6.72,11.85,11.3,102,25,359,4
2020-04-27,10806,526,4.87,10.12,75.29,68.27,72.0,56,6.73,11.36,11.99,106,25,391,4
2020-04-28,10916,561,5.14,10.79,75.76,68.27,72.0,65,6.6,11.34,11.81,111,26,420,4
2020-04-29,11061,609,5.51,11.71,75.53,68.27,72.0,85,6.51,11.29,11.73,121,31,453,4
2020-04-30,11211,660,5.89,12.69,74.24,68.27,72.0,110,6.57,11.62,11.41,130,35,491,4
2020-05-01,11342,702,6.19,13.5,73.22,68.27,72.0,133,6.59,11.57,11.53,134,42,522,4
2020-05-02,11404,727,6.37,13.98,72.63,68.27,72.0,164,6.69,11.63,11.67,140,43,540,4
2020-05-03,11438,760,6.64,14.62,72.63,68.27,71.0,189,6.71,11.58,11.79,147,43,565,5
2020-05-04,11470,783,6.83,15.06,72.54,68.27,71.0,219,6.59,11.56,11.92,155,43,579,6
2020-05-05,11470,795,6.93,15.29,72.7,68.27,71.0,230,6.57,11.53,12.01,160,43,586,6
2020-05-06,11470,795,6.93,15.29,72.7,68.27,71.0,230,6.57,11.53,12.01,160,43,586,6
