Data,Casos confirmados,Total obitos,Letalidade (%),Media Obitos por Dia,Comorbidade (%),Idade media obito,Idade mediana obito,Obitos suspeitos,Dias entre inicio sintomas ate internacao,Dias entre inicio sintomas ate resultado do exame,Dias entre inicio sintomas ate obito,Obitos na hospital,Obitos na residencia,Obitos sem informacao local
2020-03-24,1330,2,0.15,0.05,100,68.7,62.5,0,,,6.0,2,0,0
2020-03-25,1513,4,0.26,0.1,100,68.7,74.0,0,,,5.0,4,0,0
2020-03-26,1674,7,0.42,0.17,85.71,68.7,83.0,0,,,5.0,7,0,0
2020-03-27,1820,10,0.55,0.24,80,68.7,83.5,0,,4.25,6.0,9,1,0
2020-03-28,1919,12,0.63,0.29,83.33,68.7,77.5,0,,5.0,6.0,11,1,0
2020-03-29,2010,16,0.8,0.38,81.25,68.7,73.0,0,3.5,5.25,10.33,14,2,0
2020-03-30,2140,19,0.89,0.45,84.21,68.7,74.0,0,3.5,6.82,12.75,17,2,0
2020-03-31,2258,22,0.97,0.52,86.36,68.7,73.0,0,3.2,6.5,11.86,20,2,0
2020-04-01,2437,24,0.98,0.57,87.5,68.7,74.5,0,3.2,7.4,11.86,22,2,0
2020-04-02,2570,33,1.28,0.79,75.76,68.7,74.0,0,3.17,12.63,7.95,30,3,0
2020-04-03,2690,41,1.52,0.98,73.17,68.7,75.0,0,4.9,8.32,12.5,38,3,0
2020-04-04,2826,48,1.7,1.14,77.08,68.7,74.0,0,4.69,7.79,11.05,45,3,0
2020-04-05,2964,56,1.89,1.33,80.36,68.7,74.0,2,4.87,12.0,8.49,51,5,0
2020-04-06,3134,67,2.14,1.6,80.6,68.7,74.0,2,5.65,11.93,8.67,62,5,0
2020-04-07,3323,74,2.23,1.76,82.43,68.7,73.0,2,5.3,11.48,8.69,69,5,0
2020-04-08,3527,81,2.3,1.93,83.95,68.7,73.0,3,5.19,11.47,9.0,76,5,0
2020-04-09,3741,92,2.46,2.19,82.61,68.7,73.5,5,4.76,10.57,8.66,87,5,0
2020-04-10,3999,104,2.6,2.48,82.69,68.7,73.0,5,6.03,9.29,11.37,99,5,0
2020-04-11,4241,116,2.74,2.76,81.9,68.7,74.0,6,6.46,9.47,11.61,111,5,0
2020-04-12,4477,129,2.88,3.07,82.17,68.7,74.0,6,6.7,11.86,9.71,122,5,2
2020-04-13,4781,136,2.84,3.24,80.15,68.7,73.0,6,6.74,11.83,9.97,129,5,2
2020-04-14,5010,155,3.09,3.69,81.94,68.7,73.0,6,6.64,11.57,10.26,148,5,2
2020-04-15,5255,172,3.27,4.1,81.98,68.7,71.0,9,6.48,11.49,10.15,165,5,2
2020-04-16,5432,187,3.44,4.45,82.89,68.7,71.0,12,6.27,10.26,11.7,180,5,2
2020-04-17,5594,209,3.74,4.98,82.3,68.7,72.0,16,6.2,11.6,10.53,202,5,2
2020-04-18,5694,221,3.88,5.26,81.9,68.7,72.0,24,6.22,11.44,10.6,214,5,2
2020-04-19,5767,242,4.2,5.76,80.99,68.7,72.0,31,6.31,11.49,10.7,235,5,2
2020-04-20,5889,265,4.5,6.31,80.75,68.7,72.0,36,6.29,11.46,11.0,258,5,2
2020-04-21,5983,286,4.78,6.81,79.37,68.7,72.0,43,6.29,11.2,11.44,279,5,2
2020-04-22,6104,304,4.98,7.24,79.28,68.7,72.0,49,6.18,11.15,11.27,297,5,2
2020-04-23,6160,320,5.19,7.62,79.38,68.7,72.0,56,6.14,11.25,11.17,313,5,2
2020-04-24,6224,345,5.54,8.21,78.55,68.7,72.0,69,6.23,11.44,11.09,338,5,2
2020-04-25,6260,365,5.83,8.69,76.99,68.7,72.0,81,6.4,11.63,11.21,358,5,2
2020-04-26,6260,376,6.01,8.95,76.6,68.7,72.0,92,6.42,11.79,11.25,369,5,2
