Data,Casos confirmados,Total obitos,Letalidade (%),Media Obitos por Dia,Comorbidade (%),Idade media obito,Idade mediana obito,Obitos suspeitos,Dias entre inicio sintomas ate internacao,Dias entre inicio sintomas ate resultado do exame,Dias entre inicio sintomas ate obito,Obitos hospitais privados,Obitos na residencia,Obitos hospitais publicos,Obitos sem informacao local
2020-03-24,1548,5,0.32,0.09,80,68.1,68.0,0,3.0,16.8,14.0,2,1,2,0
2020-03-25,1747,7,0.4,0.13,85.71,68.1,68.0,0,3.33,16.83,12.0,2,2,3,0
2020-03-26,1930,10,0.52,0.19,80,68.1,77.5,0,3.4,11.33,14.25,4,2,4,0
2020-03-27,2079,13,0.63,0.24,76.92,68.1,83.0,0,3.83,13.2,9.38,4,3,6,0
2020-03-28,2200,15,0.68,0.28,80,68.1,72.0,0,3.29,12.55,8.89,5,3,7,0
2020-03-29,2314,19,0.82,0.35,78.95,68.1,72.0,0,3.5,8.15,12.8,7,4,8,0
2020-03-30,2464,23,0.93,0.43,78.26,68.1,74.0,0,3.45,13.06,8.53,10,4,9,0
2020-03-31,2588,26,1,0.48,80.77,68.1,73.0,0,3.62,12.68,8.05,11,4,11,0
2020-04-01,2807,28,1,0.52,82.14,68.1,74.5,0,4.36,9.23,13.15,12,4,12,0
2020-04-02,2955,37,1.25,0.69,72.97,68.1,74.0,0,4.28,13.46,9.29,16,7,14,0
2020-04-03,3093,46,1.49,0.85,69.57,68.1,75.0,0,4.71,13.66,9.58,18,7,21,0
2020-04-04,3256,53,1.63,0.98,73.58,68.1,74.0,0,4.8100000000000005,13.14,9.21,18,7,28,0
2020-04-05,3444,61,1.77,1.13,77.05,68.1,74.0,2,5.1,9.7,14.12,18,9,34,0
2020-04-06,3651,73,2,1.35,76.71,68.1,74.0,2,5.43,13.98,9.83,21,10,42,0
2020-04-07,3873,80,2.07,1.48,78.75,68.1,73.0,2,5.49,13.51,9.68,24,10,46,0
2020-04-08,4131,88,2.13,1.63,80.68,68.1,73.0,2,5.55,9.73,13.5,27,10,51,0
2020-04-09,4416,100,2.26,1.85,79,68.1,74.0,4,5.59,9.52,13.29,30,11,59,0
2020-04-10,4827,112,2.32,2.07,79.46,68.1,73.5,4,6.66,10.03,13.68,34,11,67,0
2020-04-11,5180,125,2.41,2.31,79.2,68.1,74.0,5,6.28,9.97,13.13,36,12,77,0
2020-04-12,5546,139,2.51,2.57,79.14,68.1,74.0,5,6.84,10.17,13.51,38,14,87,0
2020-04-13,5990,146,2.44,2.7,77.4,68.1,73.0,5,6.68,10.31,13.28,40,14,92,0
2020-04-14,6462,166,2.57,3.07,78.92,68.1,73.0,5,6.84,13.12,10.76,45,14,107,0
2020-04-15,6965,184,2.64,3.41,79.35,68.1,71.0,7,6.69,10.45,12.67,50,14,120,0
2020-04-16,7407,200,2.7,3.7,80,68.1,71.0,9,6.6,12.63,10.59,51,15,134,0
2020-04-17,7926,223,2.81,4.13,79.82,68.1,72.0,10,6.41,10.79,12.44,56,16,151,0
2020-04-18,8415,240,2.85,4.44,79.58,68.1,71.5,15,6.53,10.81,12.5,58,17,165,0
2020-04-19,8979,263,2.93,4.87,79.09,68.1,71.0,23,6.46,10.84,12.29,64,19,180,0
2020-04-20,9798,295,3.01,5.46,79.32,68.1,71.0,24,6.12,12.45,11.16,71,20,204,0
2020-04-21,10359,320,3.09,5.93,77.5,68.1,71.0,28,6.25,12.35,11.3,76,22,222,0
2020-04-22,10932,343,3.14,6.35,77.26,68.1,72.0,33,6.26,12.1,11.14,77,23,243,0
2020-04-23,11503,365,3.17,6.76,77.26,68.1,72.0,36,6.5600000000000005,11.24,12.23,81,23,261,0
2020-04-24,12136,409,3.37,7.57,76.53,68.1,72.0,41,6.62,11.21,11.98,85,26,298,0
2020-04-25,12733,447,3.51,8.28,74.94,68.1,72.0,47,6.65,12.0,11.3,92,29,326,0
2020-04-26,13194,498,3.77,9.22,74.5,68.1,72.0,50,6.43,11.75,11.19,102,29,367,0
2020-04-27,13641,537,3.94,9.94,74.3,68.1,72.0,57,6.47,11.15,11.71,106,29,402,0
2020-04-28,13998,576,4.11,10.67,74.48,68.1,72.0,65,6.31,11.54,11.13,111,29,436,0
2020-04-29,14255,633,4.44,11.72,74.09,68.1,72.0,77,6.28,11.06,11.5,122,34,477,0
2020-04-30,14511,695,4.79,12.87,72.95,68.1,72.0,93,6.33,11.06,11.38,132,38,525,0
2020-05-01,14669,748,5.1,13.85,71.66,68.1,72.0,116,6.38,11.29,11.09,136,45,567,0
2020-05-02,14790,795,5.38,14.72,71.07,68.1,72.0,143,6.42,11.22,11.36,143,49,603,0
2020-05-03,14875,846,5.69,15.67,70.92,68.1,71.0,172,6.52,11.36,11.28,152,54,640,0
2020-05-04,14970,893,5.97,16.54,70.44,68.1,71.0,202,6.52,11.34,11.51,162,56,675,0
2020-05-05,15055,941,6.25,17.43,70.56,68.1,71.0,229,6.47,11.71,11.25,174,60,707,0
2020-05-06,15104,968,6.41,17.93,70.45,68.1,71.0,267,6.44,11.85,11.27,181,66,721,0
2020-05-07,15134,989,6.53,18.31,70.37,68.1,71.0,292,6.43,11.91,11.26,186,66,737,0
2020-05-08,15134,997,6.59,18.46,70.31,68.1,71.0,301,6.43,11.93,11.25,186,66,745,0
