Data,Casos confirmados,Total obitos,Letalidade (%),Media Obitos por Dia,Comorbidade (%),Idade media obito,Idade mediana obito,Obitos suspeitos,Dias entre inicio sintomas ate internacao,Dias entre inicio sintomas ate resultado do exame,Dias entre inicio sintomas ate obito,Obitos na hospital,Obitos na residencia,Obitos sem informacao local
2020-03-24,1124,2,0.18,0.06,100,66.18,62.5,3,,,36.0,2,0,0
2020-03-25,1298,3,0.23,0.09,100,66.18,41.0,3,5.0,-9.0,12.5,3,0,0
2020-03-26,1452,6,0.41,0.19,83.33,66.18,78.0,3,5.0,-9.0,12.5,6,0,0
2020-03-27,1573,8,0.51,0.25,75,66.18,78.0,3,5.0,-1.5,8.33,7,1,0
2020-03-28,1646,10,0.61,0.31,80,66.18,71.5,3,5.0,-1.5,8.33,9,1,0
2020-03-29,1712,14,0.82,0.44,78.57,66.18,71.5,3,5.25,8.6,7.67,12,2,0
2020-03-30,1794,17,0.95,0.53,82.35,66.18,72.0,3,5.25,10.83,9.0,15,2,0
2020-03-31,1865,20,1.07,0.63,85,66.18,71.5,3,4.29,10.78,8.0,18,2,0
2020-04-01,1947,22,1.13,0.69,86.36,66.18,74.0,3,4.29,10.78,9.0,20,2,0
2020-04-02,2016,30,1.49,0.94,76.67,66.18,73.0,3,3.3,10.92,9.18,27,3,0
2020-04-03,2074,38,1.83,1.19,73.68,66.18,74.5,3,4.5,11.89,9.54,35,3,0
2020-04-04,2127,45,2.12,1.41,77.78,66.18,74.0,3,4.5600000000000005,11.17,8.8,42,3,0
2020-04-05,2161,52,2.41,1.63,80.77,66.18,74.0,6,4.7,12.14,9.37,47,5,0
2020-04-06,2200,61,2.77,1.91,80.33,66.18,74.0,8,5.36,11.94,9.61,56,5,0
2020-04-07,2240,67,2.99,2.09,82.09,66.18,73.0,9,5.2,11.5,9.55,62,5,0
2020-04-08,2287,73,3.19,2.28,83.56,66.18,73.0,12,5.29,11.53,9.92,68,5,0
2020-04-09,2300,82,3.57,2.56,81.71,66.18,73.0,16,5.42,11.28,9.79,77,5,0
2020-04-10,2313,93,4.02,2.91,81.72,66.18,73.0,19,6.38,11.88,10.42,88,5,0
2020-04-11,2341,102,4.36,3.19,81.37,66.18,73.0,24,6.57,11.7,10.64,97,5,0
2020-04-12,2359,111,4.71,3.47,81.08,66.18,73.0,28,6.84,11.89,10.95,104,5,2
2020-04-13,2390,116,4.85,3.63,79.31,66.18,72.0,34,6.86,11.82,11.25,109,5,2
2020-04-14,2409,130,5.4,4.06,81.54,66.18,71.0,45,6.9,11.63,11.59,123,5,2
2020-04-15,2412,133,5.51,4.16,81.95,66.18,71.0,64,6.9,11.73,11.64,126,5,2
2020-04-16,2412,135,5.6,4.22,82.22,66.18,71.0,74,6.92,11.71,11.79,128,5,2
