Data,Casos confirmados,Total obitos,Letalidade (%),Media Obitos por Dia,Comorbidade (%),Idade media obito,Idade mediana obito,Obitos suspeitos,Dias entre inicio sintomas ate internacao,Dias entre inicio sintomas ate resultado do exame,Dias entre inicio sintomas ate obito,Obitos hospitais privados,Obitos na residencia,Obitos hospitais publicos,Obitos sem informacao local
2020-03-24,1510,4,0.26,0.08,100,67.98,76.0,1,4,36,27,2,1,1,0
2020-03-25,1714,6,0.35,0.11,100,67.98,75.5,1,4,36,27,2,2,2,0
2020-03-26,1902,9,0.47,0.17,88.89,67.98,83.0,1,4,36,27,4,2,3,0
2020-03-27,2046,12,0.59,0.23,83.33,67.98,83.5,1,5.0,18.0,12.75,4,3,5,0
2020-03-28,2159,14,0.65,0.26,85.71,67.98,77.5,1,5.0,18.0,12.75,5,3,6,0
2020-03-29,2261,18,0.8,0.34,83.33,67.98,73.0,1,4.4,16.29,9.71,7,4,7,0
2020-03-30,2410,22,0.91,0.42,81.82,67.98,75.5,1,4.4,10.0,16.75,10,4,8,0
2020-03-31,2532,25,0.99,0.47,84,67.98,74.0,1,4.43,8.92,15.3,11,4,10,0
2020-04-01,2740,27,0.99,0.51,85.19,67.98,75.0,1,4.43,15.3,9.71,12,4,11,0
2020-04-02,2891,36,1.25,0.68,75,67.98,74.5,1,3.44,15.43,9.38,16,7,13,0
2020-04-03,3019,45,1.49,0.85,71.11,67.98,75.0,1,4.79,14.85,9.62,18,7,20,0
2020-04-04,3175,52,1.64,0.98,75,67.98,74.5,1,4.94,9.14,13.84,18,7,27,0
2020-04-05,3339,60,1.8,1.13,78.33,67.98,74.0,3,5.1,14.7,9.57,18,9,33,0
2020-04-06,3542,72,2.03,1.36,79.17,67.98,74.0,3,5.58,14.68,9.63,21,10,41,0
2020-04-07,3757,79,2.1,1.49,81.01,67.98,73.0,3,5.65,13.97,9.47,24,10,45,0
2020-04-08,4012,87,2.17,1.64,82.76,67.98,73.0,3,5.74,9.55,13.95,27,10,50,0
2020-04-09,4287,99,2.31,1.87,80.81,67.98,74.0,5,5.77,13.61,9.34,30,11,58,0
2020-04-10,4677,111,2.37,2.09,81.08,67.98,74.0,5,6.89,14.14,9.92,34,11,66,0
2020-04-11,5016,124,2.47,2.34,80.65,67.98,74.0,6,7.21,10.21,13.97,36,12,76,0
2020-04-12,5377,138,2.57,2.6,80.43,67.98,74.0,6,7.85,10.3,13.98,38,14,86,0
2020-04-13,5797,145,2.5,2.74,78.62,67.98,73.0,6,7.71,10.52,13.76,40,14,91,0
2020-04-14,6242,165,2.64,3.11,80,67.98,73.0,6,7.61,13.21,10.98,45,14,106,0
2020-04-15,6698,183,2.73,3.45,80.33,67.98,71.0,8,7.38,12.81,10.83,50,14,119,0
2020-04-16,7105,199,2.8,3.75,80.9,67.98,71.0,10,7.16,10.94,12.76,51,15,133,0
2020-04-17,7573,222,2.93,4.19,80.63,67.98,72.0,11,6.9,12.53,11.11,56,16,150,0
2020-04-18,8015,239,2.98,4.51,80.33,67.98,72.0,16,6.99,12.58,11.08,58,17,164,0
2020-04-19,8485,262,3.09,4.94,79.77,67.98,71.5,24,6.85,11.08,12.35,64,19,179,0
2020-04-20,9143,293,3.2,5.53,79.86,67.98,72.0,26,6.45,11.37,12.41,71,20,202,0
2020-04-21,9574,318,3.32,6,77.99,67.98,71.5,30,6.55,11.51,12.31,76,22,220,0
2020-04-22,10021,340,3.39,6.42,77.94,67.98,72.0,35,6.54,11.33,12.07,77,23,240,0
2020-04-23,10444,362,3.47,6.83,77.9,67.98,72.0,38,6.84,12.22,11.42,81,23,258,0
2020-04-24,10858,404,3.72,7.62,77.23,67.98,72.0,43,6.88,11.91,11.39,85,26,293,0
2020-04-25,11233,441,3.93,8.32,75.74,67.98,72.0,47,6.92,11.43,11.95,92,28,321,0
2020-04-26,11531,492,4.27,9.28,75.2,67.98,72.0,49,6.69,11.68,11.3,102,28,362,0
2020-04-27,11820,529,4.48,9.98,75.24,67.98,72.0,55,6.72,11.31,11.73,106,28,395,0
2020-04-28,12000,565,4.71,10.66,75.58,67.98,72.0,63,6.55,11.59,11.3,111,28,426,0
2020-04-29,12168,616,5.06,11.62,75.16,67.98,72.0,81,6.46,11.51,11.26,122,33,461,0
2020-04-30,12311,669,5.43,12.62,73.99,67.98,72.0,105,6.51,11.32,11.34,132,37,500,0
2020-05-01,12402,717,5.78,13.53,72.66,67.98,72.0,128,6.57,11.22,11.37,136,44,537,0
2020-05-02,12476,748,6,14.11,72.19,67.98,71.0,160,6.6,11.28,11.51,142,45,561,0
2020-05-03,12528,787,6.28,14.85,72.05,67.98,71.0,189,6.69,11.65,11.23,151,46,590,0
2020-05-04,12587,814,6.47,15.36,71.87,67.98,71.0,228,6.62,11.21,11.76,160,47,607,0
2020-05-05,12633,849,6.72,16.02,72.08,67.98,71.0,253,6.59,11.14,12.0,172,47,630,0
2020-05-06,12644,854,6.75,16.11,72.01,67.98,71.0,262,6.57,12.01,11.14,174,47,633,0
2020-05-07,12644,854,6.75,16.11,72.01,67.98,71.0,262,6.57,12.01,11.14,174,47,633,0
