Data,Casos confirmados,Total obitos,Letalidade (%),Media Obitos por Dia,Comorbidade (%),Idade media obito,Idade mediana obito,Obitos suspeitos,Dias entre inicio sintomas ate internacao,Dias entre inicio sintomas ate resultado do exame,Dias entre inicio sintomas ate obito,Obitos hospitais privados,Obitos na residencia,Obitos hospitais publicos,Obitos sem informacao local
2020-03-24,1548,5,0.32,0.09,80,68.1,68.0,0,3.0,14.0,16.8,2,1,2,0
2020-03-25,1747,7,0.4,0.13,85.71,68.1,68.0,0,3.33,16.83,12.0,2,2,3,0
2020-03-26,1930,10,0.52,0.18,80,68.1,77.5,0,3.4,14.25,11.33,4,2,4,0
2020-03-27,2079,13,0.63,0.24,76.92,68.1,83.0,0,3.83,13.2,9.38,4,3,6,0
2020-03-28,2200,15,0.68,0.27,80,68.1,72.0,0,3.29,12.55,8.89,5,3,7,0
2020-03-29,2314,19,0.82,0.35,78.95,68.1,72.0,0,3.5,12.8,8.15,7,4,8,0
2020-03-30,2464,23,0.93,0.42,78.26,68.1,74.0,0,3.45,8.53,13.06,10,4,9,0
2020-03-31,2588,26,1,0.47,80.77,68.1,73.0,0,3.62,12.68,8.05,11,4,11,0
2020-04-01,2807,28,1,0.51,82.14,68.1,74.5,0,4.36,13.15,9.23,12,4,12,0
2020-04-02,2955,37,1.25,0.67,72.97,68.1,74.0,0,4.28,13.46,9.29,16,7,14,0
2020-04-03,3093,46,1.49,0.84,69.57,68.1,75.0,0,4.71,13.66,9.58,18,7,21,0
2020-04-04,3256,53,1.63,0.96,73.58,68.1,74.0,0,4.8100000000000005,13.14,9.21,18,7,28,0
2020-04-05,3444,61,1.77,1.11,77.05,68.1,74.0,2,5.1,14.12,9.7,18,9,34,0
2020-04-06,3651,73,2,1.33,76.71,68.1,74.0,2,5.43,13.98,9.83,21,10,42,0
2020-04-07,3873,80,2.07,1.45,78.75,68.1,73.0,2,5.49,9.68,13.51,24,10,46,0
2020-04-08,4131,88,2.13,1.6,80.68,68.1,73.0,2,5.55,13.5,9.73,27,10,51,0
2020-04-09,4416,100,2.26,1.82,79,68.1,74.0,4,5.59,13.29,9.52,30,11,59,0
2020-04-10,4827,112,2.32,2.04,79.46,68.1,73.5,4,6.66,13.68,10.03,34,11,67,0
2020-04-11,5180,125,2.41,2.27,79.2,68.1,74.0,5,6.28,9.97,13.13,36,12,77,0
2020-04-12,5546,139,2.51,2.53,79.14,68.1,74.0,5,6.84,13.51,10.17,38,14,87,0
2020-04-13,5990,146,2.44,2.65,77.4,68.1,73.0,5,6.68,13.28,10.31,40,14,92,0
2020-04-14,6462,166,2.57,3.02,78.92,68.1,73.0,5,6.84,13.12,10.76,45,14,107,0
2020-04-15,6965,184,2.64,3.35,79.35,68.1,71.0,7,6.69,12.67,10.45,50,14,120,0
2020-04-16,7407,200,2.7,3.64,80,68.1,71.0,9,6.6,12.63,10.59,51,15,134,0
2020-04-17,7926,223,2.81,4.05,79.82,68.1,72.0,10,6.41,12.44,10.79,56,16,151,0
2020-04-18,8415,240,2.85,4.36,79.58,68.1,71.5,15,6.53,10.81,12.5,58,17,165,0
2020-04-19,8979,263,2.93,4.78,79.09,68.1,71.0,23,6.46,12.29,10.84,64,19,180,0
2020-04-20,9798,295,3.01,5.36,79.32,68.1,71.0,24,6.12,12.45,11.16,71,20,204,0
2020-04-21,10359,320,3.09,5.82,77.5,68.1,71.0,28,6.25,12.35,11.3,76,22,222,0
2020-04-22,10932,343,3.14,6.24,77.26,68.1,72.0,33,6.26,11.14,12.1,77,23,243,0
2020-04-23,11503,365,3.17,6.64,77.26,68.1,72.0,36,6.5600000000000005,12.23,11.24,81,23,261,0
2020-04-24,12136,409,3.37,7.44,76.53,68.1,72.0,41,6.62,11.98,11.21,85,26,298,0
2020-04-25,12733,447,3.51,8.13,74.94,68.1,72.0,47,6.65,11.3,12.0,92,29,326,0
2020-04-26,13194,498,3.77,9.05,74.5,68.1,72.0,50,6.43,11.75,11.19,102,29,367,0
2020-04-27,13641,537,3.94,9.76,74.3,68.1,72.0,57,6.47,11.71,11.15,106,29,402,0
2020-04-28,13998,576,4.11,10.47,74.48,68.1,72.0,65,6.31,11.54,11.13,111,29,436,0
2020-04-29,14255,633,4.44,11.51,74.09,68.1,72.0,77,6.28,11.5,11.06,122,34,477,0
2020-04-30,14511,695,4.79,12.64,72.95,68.1,72.0,93,6.33,11.06,11.38,132,38,525,0
2020-05-01,14669,748,5.1,13.6,71.66,68.1,72.0,116,6.38,11.29,11.09,136,45,567,0
2020-05-02,14790,795,5.38,14.45,71.07,68.1,72.0,143,6.42,11.36,11.22,143,49,603,0
2020-05-03,14875,846,5.69,15.38,70.92,68.1,71.0,172,6.52,11.28,11.36,152,54,640,0
2020-05-04,14970,893,5.97,16.24,70.44,68.1,71.0,202,6.52,11.51,11.34,162,56,675,0
2020-05-05,15055,941,6.25,17.11,70.56,68.1,71.0,229,6.47,11.25,11.71,174,60,707,0
2020-05-06,15104,968,6.41,17.6,70.45,68.1,71.0,267,6.44,11.27,11.85,181,66,721,0
2020-05-07,15134,989,6.53,17.98,70.37,68.1,71.0,292,6.43,11.26,11.91,186,66,737,0
2020-05-08,15134,997,6.59,18.13,70.31,68.1,71.0,301,6.43,11.25,11.93,186,66,745,0
2020-05-09,15134,997,6.59,18.13,70.31,68.1,71.0,301,6.43,11.93,11.25,186,66,745,0
