Data,Exames realizados,Suspeitos,Em Análise,Inconclusivo,Negativo,Positivo,Municios Afetados,Óbitos,Quantidade analisado,Taxa de letalidade (%),Estado
2020-02-15,1586,59,3,0,6,1,1,0,18,0.0,CE
2020-02-16,1586,60,4,0,6,1,1,0,18,0.0,CE
2020-02-17,1586,60,4,0,7,2,1,0,20,0.0,CE
2020-02-18,1586,60,4,0,7,3,1,0,21,0.0,CE
2020-02-19,1586,60,4,0,8,3,1,0,22,0.0,CE
2020-02-20,1586,60,4,0,8,3,1,0,25,0.0,CE
2020-02-21,1586,60,4,0,8,3,1,0,25,0.0,CE
2020-02-22,1586,60,4,0,8,4,1,0,26,0.0,CE
2020-02-23,1586,60,4,0,11,4,1,0,31,0.0,CE
2020-02-24,1586,60,4,0,11,4,1,0,34,0.0,CE
2020-02-25,1586,61,4,0,12,4,1,0,39,0.0,CE
2020-02-26,1586,61,4,0,12,4,1,0,40,0.0,CE
2020-02-27,1586,66,4,0,12,5,2,0,43,0.0,CE
2020-02-28,1586,71,5,0,13,5,2,0,48,0.0,CE
2020-02-29,1586,75,7,0,15,5,2,0,51,0.0,CE
2020-03-01,1586,81,7,0,21,7,2,0,58,0.0,CE
2020-03-02,1594,87,9,0,24,7,2,0,64,0.0,CE
2020-03-03,1594,94,9,0,29,9,3,0,68,0.0,CE
2020-03-04,1597,100,10,0,35,11,3,0,92,0.0,CE
2020-03-05,1599,104,11,0,38,12,3,0,107,0.0,CE
2020-03-06,1601,116,13,0,41,12,3,0,113,0.0,CE
2020-03-07,1607,121,16,0,50,14,4,0,126,0.0,CE
2020-03-08,1608,123,21,2,53,15,4,0,139,0.0,CE
2020-03-09,1616,129,21,2,71,16,4,0,149,0.0,CE
2020-03-10,1617,143,25,2,78,17,4,0,166,0.0,CE
2020-03-11,1639,153,28,3,101,19,4,0,181,0.0,CE
2020-03-12,1661,172,33,7,135,27,4,0,195,0.0,CE
2020-03-13,1689,207,39,8,176,41,6,0,223,0.0,CE
2020-03-14,1736,230,44,11,246,66,8,0,248,0.0,CE
2020-03-15,1771,243,55,13,329,82,8,0,283,0.0,CE
2020-03-16,1912,321,71,15,521,129,11,0,338,0.0,CE
2020-03-17,2119,378,88,19,731,184,12,0,399,0.0,CE
2020-03-18,2520,532,120,27,1176,277,16,0,457,0.0,CE
2020-03-19,2903,642,158,30,1564,354,17,0,522,0.0,CE
2020-03-20,3454,866,226,32,2041,522,25,0,668,0.0,CE
2020-03-21,3961,1094,297,37,2519,668,28,0,803,0.0,CE
2020-03-22,4447,1325,381,40,2965,799,32,0,933,0.0,CE
2020-03-23,5051,1736,481,46,3572,973,39,0,1128,0.0,CE
2020-03-24,5649,2055,564,50,4155,1178,43,2,1292,0.17,CE
2020-03-25,6148,2271,657,56,4683,1367,48,4,1453,0.293,CE
2020-03-26,6661,2472,748,60,5132,1531,54,7,1644,0.457,CE
2020-03-27,7050,2831,849,65,5394,1661,58,10,1857,0.602,CE
2020-03-28,7312,3002,924,66,5590,1748,59,12,2042,0.686,CE
2020-03-29,7584,3135,989,67,5750,1830,61,16,2250,0.874,CE
2020-03-30,7981,3477,1071,69,5971,1932,64,19,2486,0.983,CE
2020-03-31,8361,3841,1149,71,6122,2016,66,22,2664,1.091,CE
2020-04-01,8671,4230,1285,72,6300,2115,67,24,2910,1.135,CE
2020-04-02,8931,4737,1401,75,6403,2188,73,32,3109,1.463,CE
2020-04-03,9254,5210,1501,76,6519,2256,74,40,3315,1.773,CE
2020-04-04,9509,5410,1607,80,6606,2322,77,47,3470,2.024,CE
2020-04-05,9697,5630,1732,81,6677,2370,77,55,3620,2.321,CE
2020-04-06,10103,6166,1864,82,6770,2418,79,64,3816,2.647,CE
2020-04-07,10502,6664,1973,85,6871,2470,81,70,3980,2.834,CE
2020-04-08,10971,7228,2074,88,6951,2529,81,76,4063,3.005,CE
2020-04-09,11401,7711,2178,88,7069,2571,81,85,4101,3.306,CE
2020-04-10,11751,8014,2244,90,7146,2610,81,95,4117,3.64,CE
2020-04-11,12155,8170,2381,90,7198,2665,81,105,4122,3.94,CE
2020-04-12,12407,8321,2511,90,7238,2714,83,115,4127,4.237,CE
2020-04-13,12874,8635,2774,91,7307,2793,85,121,4134,4.332,CE
2020-04-14,13333,8938,3019,91,7388,2890,86,138,4135,4.775,CE
2020-04-15,13891,9352,3392,91,7456,2936,86,147,4135,5.007,CE
2020-04-16,14503,9778,3786,91,7479,2952,86,153,4135,5.183,CE
2020-04-17,14956,10094,4093,91,7493,2955,86,162,4135,5.482,CE
2020-04-18,15004,10104,4103,91,7493,2955,86,162,4135,5.482,CE
