Data,Suspeitos,Em Análise,Inconclusivo,Negativo,Positivo,Municios Afetados,Óbitos,Taxa de letalidade (%),Estado
2020-03-01,458,0,0,1,0,0,0,,CE
2020-03-02,464,0,0,3,2,1,0,0.0,CE
2020-03-03,470,0,0,4,2,1,0,0.0,CE
2020-03-04,473,0,0,7,2,1,0,0.0,CE
2020-03-05,474,0,0,7,2,1,0,0.0,CE
2020-03-06,481,0,0,8,2,1,0,0.0,CE
2020-03-07,485,0,0,12,2,1,0,0.0,CE
2020-03-08,486,0,0,14,2,1,0,0.0,CE
2020-03-09,489,0,0,17,2,1,0,0.0,CE
2020-03-10,496,0,0,17,2,1,0,0.0,CE
2020-03-11,500,0,0,33,2,1,0,0.0,CE
2020-03-12,512,0,0,38,2,1,0,0.0,CE
2020-03-13,537,0,0,40,2,1,0,0.0,CE
2020-03-14,552,0,0,60,3,2,0,0.0,CE
2020-03-15,564,0,0,69,3,2,0,0.0,CE
2020-03-16,637,0,0,105,7,3,0,0.0,CE
2020-03-17,694,0,0,165,27,4,0,0.0,CE
2020-03-18,909,0,1,231,31,4,0,0.0,CE
2020-03-19,1058,0,1,340,59,5,0,0.0,CE
2020-03-20,1296,2,1,503,87,6,0,0.0,CE
2020-03-21,1592,4,1,604,120,6,0,0.0,CE
2020-03-22,1912,10,1,712,156,7,0,0.0,CE
2020-03-23,2436,10,1,769,186,7,0,0.0,CE
2020-03-24,2934,10,1,885,224,8,2,0.893,CE
2020-03-25,3273,12,1,1039,255,8,3,1.176,CE
2020-03-26,3520,12,1,1387,314,9,5,1.592,CE
2020-03-27,4032,12,1,1469,355,10,8,2.254,CE
2020-03-28,4280,12,1,1570,380,11,10,2.632,CE
2020-03-29,4493,12,1,1743,414,11,13,3.14,CE
2020-03-30,5067,12,1,1891,435,13,16,3.678,CE
2020-03-31,5586,12,2,2042,468,14,18,3.846,CE
2020-04-01,6073,12,2,2206,530,16,20,3.774,CE
2020-04-02,6682,12,2,2663,664,21,27,4.066,CE
2020-04-03,7219,12,2,2816,766,23,34,4.439,CE
2020-04-04,7464,12,2,2977,843,24,41,4.864,CE
2020-04-05,7726,12,2,3225,1016,32,45,4.429,CE
2020-04-06,8351,12,5,3487,1133,42,54,4.766,CE
2020-04-07,8983,12,5,3740,1288,42,57,4.425,CE
2020-04-08,9681,13,8,3934,1413,45,61,4.317,CE
2020-04-09,10177,13,9,4135,1507,49,64,4.247,CE
2020-04-10,10177,13,9,4347,1558,53,67,4.3,CE
