Data,Suspeitos,Em Análise,Inconclusivo,Negativo,Positivo,Municios Afetados,Óbitos,Taxa de letalidade (%),Estado
2020-03-01,426,0,0,2,0,0,0,,CE
2020-03-02,432,0,0,4,2,1,0,0.0,CE
2020-03-03,438,0,0,5,2,1,0,0.0,CE
2020-03-04,441,0,0,8,2,1,0,0.0,CE
2020-03-05,442,0,0,8,2,1,0,0.0,CE
2020-03-06,449,0,0,9,2,1,0,0.0,CE
2020-03-07,453,0,0,13,2,1,0,0.0,CE
2020-03-08,454,0,0,15,2,1,0,0.0,CE
2020-03-09,457,0,0,18,2,1,0,0.0,CE
2020-03-10,464,0,0,18,2,1,0,0.0,CE
2020-03-11,468,0,0,34,2,1,0,0.0,CE
2020-03-12,480,0,0,38,2,1,0,0.0,CE
2020-03-13,505,0,0,40,2,1,0,0.0,CE
2020-03-14,520,0,0,60,3,2,0,0.0,CE
2020-03-15,532,0,0,69,3,2,0,0.0,CE
2020-03-16,606,0,0,105,7,3,0,0.0,CE
2020-03-17,665,0,0,165,26,4,0,0.0,CE
2020-03-18,881,0,1,231,30,4,0,0.0,CE
2020-03-19,1034,0,1,340,58,5,0,0.0,CE
2020-03-20,1273,2,1,503,84,6,0,0.0,CE
2020-03-21,1558,4,1,604,117,6,0,0.0,CE
2020-03-22,1858,10,1,712,153,7,0,0.0,CE
2020-03-23,2363,10,1,769,183,7,0,0.0,CE
2020-03-24,2866,10,1,885,221,8,2,0.905,CE
2020-03-25,3209,12,1,1044,252,8,3,1.19,CE
2020-03-26,3476,12,1,1391,311,9,5,1.608,CE
2020-03-27,3962,12,1,1473,351,10,8,2.279,CE
2020-03-28,4202,12,1,1576,375,11,10,2.667,CE
2020-03-29,4413,12,1,1747,409,11,13,3.178,CE
2020-03-30,4970,12,1,1898,430,13,16,3.721,CE
2020-03-31,5480,12,2,2050,463,14,18,3.888,CE
2020-04-01,5960,12,2,2215,525,16,20,3.81,CE
2020-04-02,6556,12,2,2672,659,21,27,4.097,CE
2020-04-03,7083,12,2,2825,761,23,34,4.468,CE
2020-04-04,7313,12,2,2985,837,24,41,4.898,CE
2020-04-05,7561,12,2,3235,1009,32,45,4.46,CE
2020-04-06,8135,12,5,3497,1127,42,54,4.791,CE
2020-04-07,8726,12,5,3759,1284,42,58,4.517,CE
2020-04-08,9403,13,8,3956,1409,45,63,4.471,CE
2020-04-09,9922,13,9,4160,1507,49,67,4.446,CE
2020-04-10,10236,13,9,4464,1594,53,73,4.58,CE
2020-04-11,10236,13,9,4615,1667,55,74,4.439,CE
2020-04-12,10236,13,9,4644,1670,55,74,4.431,CE
