Data,Suspeitos,Em Análise,Inconclusivo,Negativo,Positivo,Municios Afetados,Óbitos,Taxa de letalidade (%),Estado
2020-03-02,459,0,0,2,2,1,0,0.0,CE
2020-03-03,465,0,0,3,2,1,0,0.0,CE
2020-03-04,468,0,0,6,2,1,0,0.0,CE
2020-03-05,469,0,0,6,2,1,0,0.0,CE
2020-03-06,476,0,0,7,2,1,0,0.0,CE
2020-03-07,480,0,0,11,2,1,0,0.0,CE
2020-03-08,481,0,0,13,2,1,0,0.0,CE
2020-03-09,484,0,0,16,2,1,0,0.0,CE
2020-03-10,491,0,0,16,2,1,0,0.0,CE
2020-03-11,495,0,0,32,2,1,0,0.0,CE
2020-03-12,507,0,0,37,2,1,0,0.0,CE
2020-03-13,532,0,0,39,2,1,0,0.0,CE
2020-03-14,546,0,0,59,3,2,0,0.0,CE
2020-03-15,558,0,0,68,3,2,0,0.0,CE
2020-03-16,629,0,0,104,7,3,0,0.0,CE
2020-03-17,686,0,0,164,27,4,0,0.0,CE
2020-03-18,908,0,1,230,31,4,0,0.0,CE
2020-03-19,1061,0,1,339,60,5,0,0.0,CE
2020-03-20,1302,2,1,502,88,6,0,0.0,CE
2020-03-21,1606,4,1,601,122,6,0,0.0,CE
2020-03-22,1943,10,1,703,158,7,0,0.0,CE
2020-03-23,2473,10,1,764,189,7,0,0.0,CE
2020-03-24,2970,10,1,876,229,8,2,0.873,CE
2020-03-25,3320,12,1,1040,260,8,3,1.154,CE
2020-03-26,3570,12,1,1399,321,9,5,1.558,CE
2020-03-27,4091,12,1,1480,365,10,8,2.192,CE
2020-03-28,4340,12,1,1576,391,11,10,2.558,CE
2020-03-29,4556,12,1,1746,426,11,13,3.052,CE
2020-03-30,5136,12,1,1892,445,13,16,3.596,CE
2020-03-31,5660,12,2,2024,475,15,18,3.789,CE
2020-04-01,6150,12,2,2188,536,17,19,3.545,CE
2020-04-02,6769,12,2,2637,670,21,26,3.881,CE
2020-04-03,7345,12,2,2790,770,23,33,4.286,CE
2020-04-04,7601,12,2,2951,844,24,39,4.621,CE
2020-04-05,7874,12,2,3197,1018,32,43,4.224,CE
2020-04-06,8519,12,5,3455,1132,42,50,4.417,CE
2020-04-07,9166,12,5,3709,1288,42,53,4.115,CE
2020-04-08,9822,12,8,3886,1401,45,57,4.069,CE
2020-04-09,9822,12,9,4088,1476,49,58,3.93,CE
2020-04-10,9822,12,9,4141,1478,49,58,3.924,CE
