Data,Exames realizados,Suspeitos,Em Análise,Inconclusivo,Negativo,Positivo,Municios Afetados,Óbitos,Quantidade analisado,Taxa de letalidade (%),Estado
2020-02-15,1599,59,3,0,6,1,1,0,18,0.0,CE
2020-02-16,1599,60,4,0,6,1,1,0,18,0.0,CE
2020-02-17,1599,60,4,0,7,2,1,0,20,0.0,CE
2020-02-18,1599,60,4,0,7,3,1,0,21,0.0,CE
2020-02-19,1599,60,4,0,8,3,1,0,22,0.0,CE
2020-02-20,1599,60,4,0,8,3,1,0,25,0.0,CE
2020-02-21,1599,60,4,0,8,3,1,0,25,0.0,CE
2020-02-22,1599,60,4,0,8,4,1,0,26,0.0,CE
2020-02-23,1599,60,4,0,11,4,1,0,31,0.0,CE
2020-02-24,1599,60,4,0,11,4,1,0,34,0.0,CE
2020-02-25,1599,61,4,0,12,4,1,0,39,0.0,CE
2020-02-26,1599,61,4,0,12,4,1,0,40,0.0,CE
2020-02-27,1599,66,4,0,12,5,2,0,43,0.0,CE
2020-02-28,1599,71,5,0,13,5,2,0,48,0.0,CE
2020-02-29,1599,75,7,0,15,5,2,0,51,0.0,CE
2020-03-01,1599,81,7,0,21,7,2,0,58,0.0,CE
2020-03-02,1607,87,9,0,24,7,2,0,64,0.0,CE
2020-03-03,1607,94,9,0,29,9,3,0,68,0.0,CE
2020-03-04,1610,101,11,0,34,11,3,0,92,0.0,CE
2020-03-05,1612,106,13,0,37,12,3,0,107,0.0,CE
2020-03-06,1614,118,16,0,39,12,3,0,113,0.0,CE
2020-03-07,1620,123,19,0,48,14,4,0,126,0.0,CE
2020-03-08,1621,125,24,2,51,15,4,0,139,0.0,CE
2020-03-09,1629,131,25,2,68,16,4,0,149,0.0,CE
2020-03-10,1630,145,28,2,75,17,4,0,167,0.0,CE
2020-03-11,1652,155,32,3,97,19,4,0,182,0.0,CE
2020-03-12,1674,174,37,7,131,27,4,0,196,0.0,CE
2020-03-13,1702,209,45,8,170,41,6,0,224,0.0,CE
2020-03-14,1749,232,52,11,239,65,7,0,249,0.0,CE
2020-03-15,1784,245,65,13,320,81,7,0,284,0.0,CE
2020-03-16,1926,324,84,15,511,126,10,0,340,0.0,CE
2020-03-17,2133,381,104,19,717,181,11,0,402,0.0,CE
2020-03-18,2535,537,140,27,1158,272,15,0,462,0.0,CE
2020-03-19,2919,648,186,30,1539,348,16,0,528,0.0,CE
2020-03-20,3469,871,273,32,2001,508,23,0,677,0.0,CE
2020-03-21,3977,1100,358,37,2468,652,26,0,812,0.0,CE
2020-03-22,4465,1333,458,40,2906,777,30,0,942,0.0,CE
2020-03-23,5070,1746,575,44,3502,946,38,0,1139,0.0,CE
2020-03-24,5666,2067,675,48,4067,1143,41,2,1308,0.175,CE
2020-03-25,6169,2290,799,54,4579,1321,46,3,1469,0.227,CE
2020-03-26,6684,2496,915,58,5011,1477,51,6,1661,0.406,CE
2020-03-27,7072,2878,1032,63,5256,1602,54,9,1874,0.562,CE
2020-03-28,7335,3061,1141,64,5423,1682,56,11,2060,0.654,CE
2020-03-29,7606,3215,1234,65,5565,1752,58,15,2268,0.856,CE
2020-03-30,7999,3646,1360,67,5754,1838,61,18,2507,0.979,CE
2020-03-31,8377,4102,1465,69,5885,1912,63,21,2685,1.098,CE
2020-04-01,8687,4517,1633,70,6043,1994,64,23,2935,1.153,CE
2020-04-02,8946,5038,1757,73,6140,2064,70,31,3134,1.502,CE
2020-04-03,9267,5535,1874,74,6243,2125,71,39,3342,1.835,CE
2020-04-04,9519,5774,2002,77,6319,2180,74,46,3497,2.11,CE
2020-04-05,9706,6000,2136,78,6387,2219,74,53,3649,2.388,CE
2020-04-06,10113,6549,2280,79,6471,2263,76,62,3846,2.74,CE
2020-04-07,10511,7059,2404,82,6566,2306,77,68,4010,2.949,CE
2020-04-08,10979,7632,2515,84,6637,2357,77,74,4098,3.14,CE
2020-04-09,11319,8137,2638,84,6676,2375,77,83,4138,3.495,CE
2020-04-10,11634,8455,2719,86,6719,2393,77,93,4154,3.886,CE
2020-04-11,12023,8644,2877,86,6752,2431,77,102,4159,4.196,CE
2020-04-12,12277,8829,3021,86,6781,2469,79,111,4163,4.496,CE
2020-04-13,12739,9214,3322,86,6821,2523,80,116,4169,4.598,CE
2020-04-14,13196,9602,3628,86,6865,2543,80,130,4171,5.112,CE
2020-04-15,13735,10066,4039,86,6904,2547,80,133,4171,5.222,CE
2020-04-16,14160,10406,4366,86,6905,2548,80,135,4171,5.298,CE
2020-04-17,14264,10427,4387,86,6905,2548,80,135,4171,5.298,CE
