Data,Suspeitos,Em Análise,Inconclusivo,Negativo,Positivo,Municios Afetados,Óbitos,Taxa de letalidade (%),Estado
2020-03-01,460,0,0,1,0,0,0,,CE
2020-03-02,466,0,0,3,2,1,0,0.0,CE
2020-03-03,472,0,0,4,2,1,0,0.0,CE
2020-03-04,475,0,0,7,2,1,0,0.0,CE
2020-03-05,476,0,0,7,2,1,0,0.0,CE
2020-03-06,483,0,0,8,2,1,0,0.0,CE
2020-03-07,487,0,0,12,2,1,0,0.0,CE
2020-03-08,488,0,0,14,2,1,0,0.0,CE
2020-03-09,492,0,0,17,2,1,0,0.0,CE
2020-03-10,499,0,0,17,2,1,0,0.0,CE
2020-03-11,503,0,0,33,2,1,0,0.0,CE
2020-03-12,515,0,0,36,2,1,0,0.0,CE
2020-03-13,540,0,0,38,2,1,0,0.0,CE
2020-03-14,555,0,0,58,3,2,0,0.0,CE
2020-03-15,567,0,0,67,3,2,0,0.0,CE
2020-03-16,641,0,0,104,7,3,0,0.0,CE
2020-03-17,700,0,0,163,26,4,0,0.0,CE
2020-03-18,917,0,1,228,30,4,0,0.0,CE
2020-03-19,1071,0,1,335,58,5,0,0.0,CE
2020-03-20,1311,2,1,497,85,6,0,0.0,CE
2020-03-21,1604,4,1,599,118,6,0,0.0,CE
2020-03-22,1908,10,1,706,154,7,0,0.0,CE
2020-03-23,2429,10,1,763,183,7,0,0.0,CE
2020-03-24,2942,10,1,880,221,8,2,0.905,CE
2020-03-25,3288,12,1,1040,252,8,3,1.19,CE
2020-03-26,3556,12,1,1390,311,9,5,1.608,CE
2020-03-27,4044,12,1,1473,351,10,8,2.279,CE
2020-03-28,4285,12,1,1576,376,11,10,2.66,CE
2020-03-29,4496,12,1,1750,410,11,13,3.171,CE
2020-03-30,5056,12,1,1900,431,13,16,3.712,CE
2020-03-31,5565,12,2,2052,463,14,18,3.888,CE
2020-04-01,6046,12,2,2218,526,16,20,3.802,CE
2020-04-02,6643,12,2,2675,660,21,27,4.091,CE
2020-04-03,7179,12,2,2828,761,23,34,4.468,CE
2020-04-04,7422,12,2,2988,838,24,41,4.893,CE
2020-04-05,7683,12,2,3236,1010,32,45,4.455,CE
2020-04-06,8299,12,5,3499,1128,42,54,4.787,CE
2020-04-07,8908,12,5,3753,1283,42,57,4.443,CE
2020-04-08,9604,13,8,3947,1408,45,61,4.332,CE
2020-04-09,10099,13,9,4148,1502,49,64,4.261,CE
2020-04-10,10099,13,9,4422,1582,53,67,4.235,CE
2020-04-11,10099,13,9,4422,1582,53,67,4.235,CE
