Data,Exames realizados,Suspeitos,Em Análise,Inconclusivo,Negativo,Positivo,Municios Afetados,Óbitos,Quantidade analisado,Taxa de letalidade (%),Estado
2020-02-15,1649,57,2,0,8,2,2,0,18,0.0,CE
2020-02-16,1649,58,3,0,8,2,2,0,18,0.0,CE
2020-02-17,1649,58,3,0,9,3,2,0,20,0.0,CE
2020-02-18,1649,58,3,0,9,4,2,0,21,0.0,CE
2020-02-19,1649,58,3,0,10,4,2,0,22,0.0,CE
2020-02-20,1649,58,3,0,10,4,2,0,25,0.0,CE
2020-02-21,1649,58,3,0,10,4,2,0,25,0.0,CE
2020-02-22,1649,58,3,0,10,5,2,0,26,0.0,CE
2020-02-23,1649,58,3,0,13,5,2,0,31,0.0,CE
2020-02-24,1649,58,3,0,13,5,2,0,34,0.0,CE
2020-02-25,1649,59,3,0,14,5,2,0,39,0.0,CE
2020-02-26,1649,59,3,0,14,5,2,0,40,0.0,CE
2020-02-27,1649,64,3,0,14,6,3,0,43,0.0,CE
2020-02-28,1649,69,4,0,15,6,3,0,48,0.0,CE
2020-02-29,1649,73,6,0,17,6,3,0,51,0.0,CE
2020-03-01,1649,79,6,0,23,8,3,0,58,0.0,CE
2020-03-02,1657,85,7,0,28,8,3,0,64,0.0,CE
2020-03-03,1657,92,7,0,33,10,4,0,68,0.0,CE
2020-03-04,1660,98,8,0,39,12,4,0,92,0.0,CE
2020-03-05,1662,102,9,0,42,13,4,0,107,0.0,CE
2020-03-06,1664,114,11,0,45,13,4,0,113,0.0,CE
2020-03-07,1670,119,12,0,56,15,5,0,126,0.0,CE
2020-03-08,1671,121,15,2,60,17,5,0,139,0.0,CE
2020-03-09,1679,127,15,2,78,18,5,0,149,0.0,CE
2020-03-10,1680,141,19,2,85,19,5,0,166,0.0,CE
2020-03-11,1702,151,22,3,108,21,5,0,181,0.0,CE
2020-03-12,1724,170,27,7,143,29,5,0,195,0.0,CE
2020-03-13,1753,205,31,8,186,43,7,0,223,0.0,CE
2020-03-14,1800,228,36,11,256,68,9,0,248,0.0,CE
2020-03-15,1835,241,42,13,342,86,11,0,283,0.0,CE
2020-03-16,1977,319,54,15,537,135,15,0,338,0.0,CE
2020-03-17,2184,373,69,19,747,191,15,0,399,0.0,CE
2020-03-18,2586,523,99,27,1194,284,18,0,458,0.0,CE
2020-03-19,2971,632,133,30,1585,363,19,0,523,0.0,CE
2020-03-20,3521,855,190,33,2070,534,27,0,668,0.0,CE
2020-03-21,4031,1085,253,40,2554,682,30,0,803,0.0,CE
2020-03-22,4524,1322,325,44,3014,819,34,0,933,0.0,CE
2020-03-23,5129,1734,416,52,3631,997,41,0,1126,0.0,CE
2020-03-24,5727,2050,491,56,4221,1203,45,2,1290,0.166,CE
2020-03-25,6227,2266,566,63,4764,1395,50,4,1451,0.287,CE
2020-03-26,6750,2472,646,67,5224,1568,58,7,1642,0.446,CE
2020-03-27,7142,2830,725,75,5497,1709,64,10,1854,0.585,CE
2020-03-28,7406,2996,780,78,5702,1807,64,12,2039,0.664,CE
2020-03-29,7683,3125,826,79,5874,1898,66,16,2245,0.843,CE
2020-03-30,8085,3451,883,83,6107,2015,71,19,2480,0.943,CE
2020-03-31,8473,3795,929,87,6280,2115,74,22,2658,1.04,CE
2020-04-01,8789,4162,1020,90,6484,2242,77,24,2902,1.07,CE
2020-04-02,9052,4620,1091,96,6612,2337,84,32,3099,1.369,CE
2020-04-03,9377,5052,1164,100,6745,2418,85,40,3303,1.654,CE
2020-04-04,9634,5227,1242,111,6845,2498,88,47,3456,1.882,CE
2020-04-05,9828,5388,1329,116,6936,2567,90,55,3605,2.143,CE
2020-04-06,10241,5821,1433,119,7048,2629,93,65,3801,2.472,CE
2020-04-07,10651,6276,1523,123,7164,2696,94,71,3965,2.634,CE
2020-04-08,11124,6783,1606,125,7251,2769,95,78,4048,2.817,CE
2020-04-09,11565,7237,1705,126,7377,2816,95,89,4087,3.161,CE
2020-04-10,11919,7527,1773,128,7456,2856,95,101,4103,3.536,CE
2020-04-11,12324,7678,1912,128,7510,2922,95,113,4108,3.867,CE
2020-04-12,12576,7819,2034,128,7553,2976,96,123,4113,4.133,CE
2020-04-13,13043,8090,2269,130,7627,3092,98,130,4121,4.204,CE
2020-04-14,13506,8348,2485,132,7733,3202,98,148,4123,4.622,CE
2020-04-15,14066,8716,2821,132,7820,3268,98,161,4125,4.927,CE
2020-04-16,14684,9140,3207,133,7853,3290,98,167,4125,5.076,CE
2020-04-17,15275,9564,3603,133,7921,3305,98,181,4125,5.477,CE
2020-04-18,15678,9892,3909,133,7922,3306,98,187,4125,5.656,CE
2020-04-19,15779,9999,4012,133,7923,3306,98,189,4125,5.717,CE
2020-04-20,15779,9999,4012,133,7923,3306,98,189,4125,5.717,CE
