Data,Exames realizados,Suspeitos,Em Análise,Inconclusivo,Negativo,Positivo,Municios Afetados,Óbitos,,Taxa de letalidade (%),Estado
2020-03-01,209,471,2,0,14,2,1,0,71,0.0,CE
2020-03-02,213,479,2,0,14,2,1,0,79,0.0,CE
2020-03-03,213,486,2,0,17,2,1,0,84,0.0,CE
2020-03-04,216,493,2,0,23,2,1,0,110,0.0,CE
2020-03-05,218,497,3,0,24,2,1,0,126,0.0,CE
2020-03-06,220,509,5,0,25,2,1,0,133,0.0,CE
2020-03-07,226,514,7,0,31,2,1,0,149,0.0,CE
2020-03-08,228,517,11,0,34,2,1,0,166,0.0,CE
2020-03-09,237,523,11,0,46,3,1,0,178,0.0,CE
2020-03-10,238,537,12,0,50,5,1,0,201,0.0,CE
2020-03-11,261,546,12,0,69,8,1,0,220,0.0,CE
2020-03-12,283,562,14,0,80,10,1,0,240,0.0,CE
2020-03-13,316,595,14,0,96,19,4,0,272,0.0,CE
2020-03-14,385,617,14,0,126,31,5,0,304,0.0,CE
2020-03-15,447,631,22,0,155,37,5,0,360,0.0,CE
2020-03-16,654,716,28,0,227,51,6,0,431,0.0,CE
2020-03-17,872,781,32,0,307,82,8,0,518,0.0,CE
2020-03-18,1297,1000,38,1,402,104,9,0,607,0.0,CE
2020-03-19,1717,1155,41,1,551,153,13,0,714,0.0,CE
2020-03-20,2283,1411,51,1,760,229,19,0,966,0.0,CE
2020-03-21,2826,1692,58,1,886,283,22,0,1179,0.0,CE
2020-03-22,3338,1971,75,1,1024,342,22,0,1373,0.0,CE
2020-03-23,3907,2469,85,1,1115,396,25,0,1674,0.0,CE
2020-03-24,4332,2969,94,1,1274,469,27,2,1957,0.426,CE
2020-03-25,4710,3319,108,2,1469,540,30,3,2249,0.556,CE
2020-03-26,5029,3603,126,2,1837,630,33,5,2576,0.794,CE
2020-03-27,5286,4088,143,3,1947,697,33,8,2931,1.148,CE
2020-03-28,5494,4323,167,3,2061,734,34,10,3250,1.362,CE
2020-03-29,5655,4536,194,3,2250,789,34,13,3568,1.648,CE
2020-03-30,5961,5086,221,3,2416,830,35,16,3933,1.928,CE
2020-03-31,6144,5614,244,4,2544,882,39,18,4218,2.041,CE
2020-04-01,6370,6115,286,4,2688,940,41,20,4649,2.128,CE
2020-04-02,6564,6710,306,4,3129,1062,44,27,4962,2.542,CE
2020-04-03,6791,7245,332,4,3279,1150,45,34,5288,2.957,CE
2020-04-04,6952,7472,350,4,3430,1231,47,41,5579,3.331,CE
2020-04-05,7045,7714,374,4,3618,1349,48,46,5865,3.41,CE
2020-04-06,7268,8304,394,7,3808,1412,52,55,6181,3.895,CE
2020-04-07,7516,8909,412,7,4042,1510,52,61,6439,4.04,CE
2020-04-08,7660,9604,426,9,4136,1557,54,67,6593,4.303,CE
2020-04-09,7750,10157,433,9,4302,1619,55,72,6662,4.447,CE
2020-04-10,7763,10504,436,9,4564,1669,57,80,6681,4.793,CE
2020-04-11,7799,10537,438,9,4704,1720,59,84,6683,4.884,CE
2020-04-12,7804,10544,438,9,4812,1747,59,85,6683,4.865,CE
2020-04-13,7804,10544,438,9,4812,1747,59,85,6683,4.865,CE
