Data,Exames realizados,Suspeitos,Em Análise,Inconclusivo,Negativo,Positivo,Municios Afetados,Óbitos,Quantidade analisado,Taxa de letalidade (%),Estado
2020-02-15,1596,118,4,0,6,1,1,0,18,0.0,CE
2020-02-16,1596,119,5,0,6,1,1,0,18,0.0,CE
2020-02-17,1596,119,5,0,7,2,1,0,20,0.0,CE
2020-02-18,1596,119,5,0,7,3,1,0,21,0.0,CE
2020-02-19,1596,119,5,0,8,3,1,0,22,0.0,CE
2020-02-20,1596,119,5,0,8,3,1,0,25,0.0,CE
2020-02-21,1596,119,5,0,8,3,1,0,25,0.0,CE
2020-02-22,1596,119,5,0,8,4,1,0,26,0.0,CE
2020-02-23,1596,119,5,0,11,4,1,0,31,0.0,CE
2020-02-24,1596,119,5,0,11,4,1,0,34,0.0,CE
2020-02-25,1596,120,5,0,12,4,1,0,39,0.0,CE
2020-02-26,1596,120,5,0,12,4,1,0,40,0.0,CE
2020-02-27,1596,125,5,0,12,5,2,0,43,0.0,CE
2020-02-28,1596,130,6,0,13,5,2,0,48,0.0,CE
2020-02-29,1596,134,10,0,13,5,2,0,51,0.0,CE
2020-03-01,1596,140,11,0,18,7,2,0,58,0.0,CE
2020-03-02,1604,146,13,0,21,7,2,0,64,0.0,CE
2020-03-03,1604,153,13,0,26,9,3,0,68,0.0,CE
2020-03-04,1607,160,15,0,31,11,3,0,92,0.0,CE
2020-03-05,1609,165,17,0,34,12,3,0,107,0.0,CE
2020-03-06,1611,177,20,0,36,12,3,0,113,0.0,CE
2020-03-07,1617,182,23,0,45,14,4,0,126,0.0,CE
2020-03-08,1618,184,29,2,48,14,4,0,139,0.0,CE
2020-03-09,1626,190,30,2,65,15,4,0,149,0.0,CE
2020-03-10,1627,204,33,2,72,16,4,0,167,0.0,CE
2020-03-11,1649,214,37,3,94,18,4,0,182,0.0,CE
2020-03-12,1669,233,42,7,127,25,4,0,196,0.0,CE
2020-03-13,1697,268,50,8,166,39,6,0,224,0.0,CE
2020-03-14,1743,291,58,11,234,62,7,0,249,0.0,CE
2020-03-15,1778,304,74,13,312,78,8,0,284,0.0,CE
2020-03-16,1920,383,94,15,502,122,11,0,340,0.0,CE
2020-03-17,2126,440,115,19,707,176,12,0,402,0.0,CE
2020-03-18,2527,597,151,27,1147,266,16,0,462,0.0,CE
2020-03-19,2911,708,202,30,1524,342,17,0,528,0.0,CE
2020-03-20,3462,934,300,32,1982,498,24,0,677,0.0,CE
2020-03-21,3974,1166,391,37,2448,639,27,0,813,0.0,CE
2020-03-22,4466,1404,501,40,2882,763,31,0,943,0.0,CE
2020-03-23,5074,1823,632,44,3467,930,39,0,1141,0.0,CE
2020-03-24,5671,2149,748,48,4018,1124,42,2,1312,0.178,CE
2020-03-25,6173,2374,892,54,4514,1298,47,3,1473,0.231,CE
2020-03-26,6691,2584,1023,58,4931,1452,52,6,1666,0.413,CE
2020-03-27,7082,2976,1162,63,5162,1573,55,8,1879,0.509,CE
2020-03-28,7346,3174,1291,64,5316,1646,56,10,2065,0.608,CE
2020-03-29,7616,3353,1402,65,5441,1712,57,14,2274,0.818,CE
2020-03-30,8009,3867,1556,67,5605,1794,60,17,2515,0.948,CE
2020-03-31,8387,4357,1670,69,5729,1865,62,20,2694,1.072,CE
2020-04-01,8697,4776,1843,70,5881,1947,63,22,2946,1.13,CE
2020-04-02,8957,5304,1967,73,5976,2016,69,30,3148,1.488,CE
2020-04-03,9276,5802,2087,74,6076,2074,69,38,3359,1.832,CE
2020-04-04,9528,6042,2219,77,6149,2127,71,45,3516,2.116,CE
2020-04-05,9717,6272,2358,78,6214,2161,72,52,3673,2.406,CE
2020-04-06,10124,6823,2507,79,6288,2200,74,61,3879,2.773,CE
2020-04-07,10522,7343,2641,82,6376,2240,75,67,4044,2.991,CE
2020-04-08,10988,7942,2754,84,6444,2287,75,73,4135,3.192,CE
2020-04-09,11321,8452,2883,84,6469,2300,75,82,4179,3.565,CE
2020-04-10,11635,8783,2971,86,6501,2313,75,93,4196,4.021,CE
2020-04-11,12022,8980,3135,86,6527,2341,75,102,4201,4.357,CE
2020-04-12,12272,9198,3301,86,6536,2359,75,111,4206,4.705,CE
2020-04-13,12734,9583,3596,86,6555,2390,75,116,4212,4.854,CE
2020-04-14,13185,9975,3904,86,6598,2409,75,130,4214,5.396,CE
2020-04-15,13719,10431,4336,86,6628,2412,75,133,4214,5.514,CE
2020-04-16,14000,10629,4546,86,6629,2412,75,135,4214,5.597,CE
