Data,Exames realizados,Suspeitos,Em Análise,Inconclusivo,Negativo,Positivo,Municios Afetados,Óbitos,Quantidade analisado,Taxa de letalidade (%),Estado
2020-02-15,1572,59,3,0,3,0,0,0,19,,CE
2020-02-16,1572,59,3,0,3,0,0,0,19,,CE
2020-02-17,1572,59,3,0,4,0,0,0,21,,CE
2020-02-18,1572,59,3,0,4,1,1,0,22,0.0,CE
2020-02-19,1572,59,3,0,5,1,1,0,23,0.0,CE
2020-02-20,1572,59,3,0,6,1,1,0,26,0.0,CE
2020-02-21,1572,59,3,0,6,1,1,0,26,0.0,CE
2020-02-22,1572,59,4,0,6,1,1,0,27,0.0,CE
2020-02-23,1572,60,6,0,8,1,1,0,32,0.0,CE
2020-02-24,1572,60,6,0,8,1,1,0,36,0.0,CE
2020-02-25,1572,61,6,0,9,1,1,0,42,0.0,CE
2020-02-26,1572,62,6,0,9,1,1,0,43,0.0,CE
2020-02-27,1572,69,6,1,10,1,1,0,48,0.0,CE
2020-02-28,1572,76,8,1,11,1,1,0,53,0.0,CE
2020-02-29,1572,78,12,1,11,1,1,0,56,0.0,CE
2020-03-01,1572,84,13,1,16,2,1,0,63,0.0,CE
2020-03-02,1580,92,13,1,17,2,1,0,71,0.0,CE
2020-03-03,1580,99,14,1,20,2,1,0,75,0.0,CE
2020-03-04,1583,107,16,1,26,3,1,0,99,0.0,CE
2020-03-05,1585,111,17,1,29,3,1,0,114,0.0,CE
2020-03-06,1587,123,19,1,30,4,1,0,121,0.0,CE
2020-03-07,1593,128,23,1,38,5,2,0,134,0.0,CE
2020-03-08,1594,131,29,1,41,5,2,0,149,0.0,CE
2020-03-09,1603,138,32,1,58,5,2,0,158,0.0,CE
2020-03-10,1604,152,36,1,63,6,2,0,178,0.0,CE
2020-03-11,1626,162,40,2,87,10,2,0,194,0.0,CE
2020-03-12,1646,182,46,6,117,13,2,0,210,0.0,CE
2020-03-13,1675,217,53,7,161,29,7,0,240,0.0,CE
2020-03-14,1721,240,62,9,232,48,7,0,268,0.0,CE
2020-03-15,1756,253,84,11,305,65,7,0,308,0.0,CE
2020-03-16,1897,336,105,13,506,107,9,0,367,0.0,CE
2020-03-17,2101,403,126,17,701,153,9,0,439,0.0,CE
2020-03-18,2502,602,166,26,1115,234,12,0,507,0.0,CE
2020-03-19,2883,746,224,28,1482,299,15,0,584,0.0,CE
2020-03-20,3433,1009,336,31,1904,443,21,0,753,0.0,CE
2020-03-21,3936,1287,441,36,2332,572,25,0,907,0.0,CE
2020-03-22,4424,1563,561,41,2721,685,27,0,1050,0.0,CE
2020-03-23,5022,2034,692,45,3226,823,38,0,1275,0.0,CE
2020-03-24,5612,2462,894,49,3675,971,40,2,1467,0.206,CE
2020-03-25,6113,2758,1058,55,4107,1110,44,3,1658,0.27,CE
2020-03-26,6621,3079,1301,58,4405,1216,48,6,1883,0.493,CE
2020-03-27,7005,3633,1520,60,4539,1305,48,9,2129,0.69,CE
2020-03-28,7257,3929,1717,61,4629,1368,48,11,2345,0.804,CE
2020-03-29,7522,4168,1849,62,4730,1429,48,14,2570,0.98,CE
2020-03-30,7912,4779,2027,67,4888,1543,49,17,2834,1.102,CE
2020-03-31,8289,5349,2164,70,4998,1604,52,20,3037,1.247,CE
2020-04-01,8596,5864,2371,71,5126,1679,52,22,3324,1.31,CE
2020-04-02,8852,6458,2502,74,5215,1743,53,29,3549,1.664,CE
2020-04-03,9170,6984,2626,74,5324,1812,55,36,3782,1.987,CE
2020-04-04,9426,7239,2777,76,5395,1868,58,43,3963,2.302,CE
2020-04-05,9614,7482,2909,77,5441,1897,59,50,4140,2.636,CE
2020-04-06,10018,8086,3085,77,5514,1950,61,59,4362,3.026,CE
2020-04-07,10416,8695,3232,79,5637,1997,61,65,4545,3.255,CE
2020-04-08,10882,9420,3368,80,5699,2045,61,71,4647,3.472,CE
2020-04-09,11207,10009,3500,80,5738,2060,62,79,4686,3.835,CE
2020-04-10,11510,10408,3595,81,5744,2065,62,87,4697,4.213,CE
2020-04-11,11894,10670,3794,81,5754,2067,62,94,4699,4.548,CE
2020-04-12,12136,10923,3996,81,5756,2067,62,100,4699,4.838,CE
2020-04-13,12574,11320,4342,81,5761,2069,62,105,4699,5.075,CE
2020-04-14,12840,11541,4557,81,5780,2075,62,111,4699,5.349,CE
2020-04-15,12840,11541,4557,81,5780,2075,62,111,4699,5.349,CE
