Data,Suspeitos,Em Análise,Inconclusivo,Negativo,Positivo,Municios Afetados,Óbitos,Taxa de letalidade (%),Estado
2020-03-02,461,0,0,2,2,1,0,0.0,CE
2020-03-03,467,0,0,2,2,1,0,0.0,CE
2020-03-04,470,0,0,4,2,1,0,0.0,CE
2020-03-05,471,0,0,4,2,1,0,0.0,CE
2020-03-06,478,0,0,5,2,1,0,0.0,CE
2020-03-07,482,0,0,11,2,1,0,0.0,CE
2020-03-08,483,0,0,12,2,1,0,0.0,CE
2020-03-09,486,0,0,15,2,1,0,0.0,CE
2020-03-10,493,0,0,16,2,1,0,0.0,CE
2020-03-11,497,0,0,31,2,1,0,0.0,CE
2020-03-12,509,0,0,35,2,1,0,0.0,CE
2020-03-13,534,0,0,37,2,1,0,0.0,CE
2020-03-14,548,0,0,57,3,2,0,0.0,CE
2020-03-15,560,0,0,66,3,2,0,0.0,CE
2020-03-16,632,0,0,103,7,3,0,0.0,CE
2020-03-17,689,0,0,162,27,4,0,0.0,CE
2020-03-18,911,0,1,227,31,4,0,0.0,CE
2020-03-19,1066,0,1,335,60,5,0,0.0,CE
2020-03-20,1319,2,1,497,88,6,0,0.0,CE
2020-03-21,1648,4,1,597,123,6,0,0.0,CE
2020-03-22,2016,10,1,699,159,7,0,0.0,CE
2020-03-23,2592,10,1,760,190,7,0,0.0,CE
2020-03-24,3112,10,1,873,229,8,2,0.873,CE
2020-03-25,3462,12,1,1034,259,8,3,1.158,CE
2020-03-26,3712,12,1,1369,320,9,5,1.562,CE
2020-03-27,4238,12,1,1440,363,10,8,2.204,CE
2020-03-28,4488,12,1,1533,389,11,10,2.571,CE
2020-03-29,4704,12,1,1700,423,11,13,3.073,CE
2020-03-30,5294,12,1,1846,442,13,16,3.62,CE
2020-03-31,5824,12,2,1977,472,15,18,3.814,CE
2020-04-01,6315,12,2,2140,533,17,19,3.565,CE
2020-04-02,6934,12,2,2590,667,21,26,3.898,CE
2020-04-03,7512,12,3,2741,768,23,33,4.297,CE
2020-04-04,7772,12,3,2901,841,24,39,4.637,CE
2020-04-05,8050,12,3,3148,1013,32,43,4.245,CE
2020-04-06,8701,12,6,3408,1127,42,50,4.437,CE
2020-04-07,9351,12,6,3665,1282,42,53,4.134,CE
2020-04-08,10008,12,9,3842,1394,45,57,4.089,CE
2020-04-09,10008,12,10,3855,1445,46,57,3.945,CE
2020-04-10,10008,12,10,3855,1445,46,57,3.945,CE
