Data,Suspeitos,Em Análise,Inconclusivo,Negativo,Positivo,Municios Afetados,Óbitos,Taxa de letalidade (%),Estado
2020-03-01,451,0,0,1,0,0,0,,CE
2020-03-02,457,0,0,3,2,1,0,0.0,CE
2020-03-03,463,0,0,4,2,1,0,0.0,CE
2020-03-04,466,0,0,7,2,1,0,0.0,CE
2020-03-05,467,0,0,7,2,1,0,0.0,CE
2020-03-06,474,0,0,8,2,1,0,0.0,CE
2020-03-07,478,0,0,12,2,1,0,0.0,CE
2020-03-08,479,0,0,14,2,1,0,0.0,CE
2020-03-09,482,0,0,17,2,1,0,0.0,CE
2020-03-10,489,0,0,17,2,1,0,0.0,CE
2020-03-11,493,0,0,31,2,1,0,0.0,CE
2020-03-12,505,0,0,34,2,1,0,0.0,CE
2020-03-13,530,0,0,36,2,1,0,0.0,CE
2020-03-14,545,0,0,56,3,2,0,0.0,CE
2020-03-15,557,0,0,66,3,2,0,0.0,CE
2020-03-16,630,0,0,103,7,3,0,0.0,CE
2020-03-17,687,0,0,163,23,4,0,0.0,CE
2020-03-18,903,0,1,228,27,4,0,0.0,CE
2020-03-19,1052,0,1,336,52,5,0,0.0,CE
2020-03-20,1292,2,1,498,73,5,0,0.0,CE
2020-03-21,1596,4,1,600,106,5,0,0.0,CE
2020-03-22,1917,10,1,707,143,6,0,0.0,CE
2020-03-23,2439,10,1,762,174,6,0,0.0,CE
2020-03-24,2934,10,1,879,212,7,2,0.943,CE
2020-03-25,3273,12,1,1038,243,7,3,1.235,CE
2020-03-26,3520,12,1,1395,301,8,5,1.661,CE
2020-03-27,4031,12,1,1485,342,9,8,2.339,CE
2020-03-28,4280,12,1,1585,366,10,10,2.732,CE
2020-03-29,4492,12,1,1756,401,10,13,3.242,CE
2020-03-30,5067,12,1,1905,422,12,16,3.791,CE
2020-03-31,5585,12,2,2050,453,13,18,3.974,CE
2020-04-01,6073,12,2,2217,516,15,20,3.876,CE
2020-04-02,6684,12,2,2675,649,20,27,4.16,CE
2020-04-03,7221,12,2,2828,750,22,34,4.533,CE
2020-04-04,7466,12,2,2990,827,23,40,4.837,CE
2020-04-05,7728,12,2,3239,995,31,44,4.422,CE
2020-04-06,8362,12,5,3496,1116,41,51,4.57,CE
2020-04-07,8998,12,5,3751,1271,41,54,4.249,CE
2020-04-08,9699,13,8,3946,1393,44,58,4.164,CE
2020-04-09,10195,13,9,4149,1472,48,60,4.076,CE
2020-04-10,10195,13,9,4308,1514,52,62,4.095,CE
