Data,Exames realizados,Suspeitos,Em Análise,Inconclusivo,Negativo,Positivo,Municios Afetados,Óbitos,Quantidade analisado,Taxa de letalidade (%),Estado
2020-02-15,2239,67,2,0,8,4,2,0,34,0.0,CE
2020-02-16,2239,67,3,0,8,4,2,0,35,0.0,CE
2020-02-17,2239,67,4,0,9,5,2,0,37,0.0,CE
2020-02-18,2239,67,4,0,9,6,2,0,37,0.0,CE
2020-02-19,2239,67,4,0,11,6,2,0,38,0.0,CE
2020-02-20,2239,67,4,0,13,6,2,0,42,0.0,CE
2020-02-21,2239,67,4,0,14,7,2,0,43,0.0,CE
2020-02-22,2239,67,4,0,14,8,2,0,45,0.0,CE
2020-02-23,2239,67,4,0,17,9,3,0,54,0.0,CE
2020-02-24,2239,67,4,0,18,9,3,0,57,0.0,CE
2020-02-25,2239,68,4,0,18,9,3,0,65,0.0,CE
2020-02-26,2239,68,4,0,20,9,3,0,67,0.0,CE
2020-02-27,2239,73,4,0,20,9,3,0,69,0.0,CE
2020-02-28,2239,78,4,0,21,9,3,0,77,0.0,CE
2020-02-29,2239,82,6,0,23,9,3,0,82,0.0,CE
2020-03-01,2239,87,6,0,32,11,3,0,88,0.0,CE
2020-03-02,2247,92,7,0,37,13,4,0,95,0.0,CE
2020-03-03,2247,99,7,0,41,15,5,0,102,0.0,CE
2020-03-04,2250,105,9,0,47,17,5,0,126,0.0,CE
2020-03-05,2252,110,13,0,53,19,5,0,144,0.0,CE
2020-03-06,2254,122,15,0,59,21,6,0,151,0.0,CE
2020-03-07,2260,127,17,0,71,23,7,0,166,0.0,CE
2020-03-08,2261,129,20,2,77,28,10,0,182,0.0,CE
2020-03-09,2269,136,21,2,94,30,10,0,201,0.0,CE
2020-03-10,2270,149,26,2,109,33,10,0,231,0.0,CE
2020-03-11,2292,160,29,2,136,37,10,0,249,0.0,CE
2020-03-12,2313,180,33,6,170,50,10,0,273,0.0,CE
2020-03-13,2336,214,36,7,220,65,12,0,313,0.0,CE
2020-03-14,2381,235,40,8,297,94,16,0,358,0.0,CE
2020-03-15,2415,248,48,10,390,112,16,0,419,0.0,CE
2020-03-16,2551,326,63,10,597,164,19,0,498,0.0,CE
2020-03-17,2752,382,80,14,833,223,19,0,598,0.0,CE
2020-03-18,3146,542,108,24,1296,330,20,0,708,0.0,CE
2020-03-19,3523,646,141,26,1684,412,20,0,826,0.0,CE
2020-03-20,4073,873,204,30,2200,591,29,0,1047,0.0,CE
2020-03-21,4566,1122,265,37,2679,751,31,0,1238,0.0,CE
2020-03-22,5044,1376,323,41,3149,892,37,0,1410,0.0,CE
2020-03-23,5622,1854,384,49,3772,1080,41,0,1679,0.0,CE
2020-03-24,6211,2238,433,53,4342,1285,44,2,1897,0.156,CE
2020-03-25,6711,2474,480,58,4835,1466,48,4,2089,0.273,CE
2020-03-26,7227,2785,521,61,5245,1633,54,7,2337,0.429,CE
2020-03-27,7608,3119,557,68,5526,1776,59,10,2622,0.563,CE
2020-03-28,7862,3299,599,72,5736,1876,61,12,2842,0.64,CE
2020-03-29,8127,3453,640,74,5920,1963,62,16,3061,0.815,CE
2020-03-30,8519,3815,683,82,6186,2085,69,19,3350,0.911,CE
2020-03-31,8895,4180,714,86,6374,2201,71,22,3569,1.0,CE
2020-04-01,9201,4544,784,90,6623,2359,77,24,3928,1.017,CE
2020-04-02,9459,5013,828,99,6780,2483,84,32,4204,1.289,CE
2020-04-03,9769,5435,879,104,6936,2598,84,40,4496,1.54,CE
2020-04-04,10018,5610,937,115,7073,2712,91,47,4724,1.733,CE
2020-04-05,10205,5777,994,124,7194,2837,95,55,4979,1.939,CE
2020-04-06,10612,6194,1088,130,7365,2979,97,66,5373,2.216,CE
2020-04-07,11009,6633,1195,134,7517,3128,99,73,5706,2.334,CE
2020-04-08,11481,7120,1310,137,7669,3277,100,80,6014,2.441,CE
2020-04-09,11908,7465,1467,139,7896,3426,101,91,6322,2.656,CE
2020-04-10,12250,7718,1652,144,8042,3560,102,103,6775,2.893,CE
2020-04-11,12647,8044,1861,146,8118,3669,103,115,7183,3.134,CE
2020-04-12,12889,8322,2071,147,8186,3754,105,127,7603,3.383,CE
2020-04-13,13347,8947,2362,150,8311,3863,106,134,8081,3.469,CE
2020-04-14,13800,9734,2574,153,8415,3937,106,153,8474,3.886,CE
2020-04-15,14338,10571,2818,155,8527,3999,106,169,8837,4.226,CE
2020-04-16,14949,11500,3032,157,8626,4047,108,179,9156,4.423,CE
2020-04-17,15546,12486,3212,158,8739,4090,109,195,9402,4.768,CE
2020-04-18,15977,13074,3335,158,8750,4101,109,204,9561,4.974,CE
2020-04-19,16270,13658,3436,158,8761,4102,109,217,9664,5.29,CE
2020-04-20,16770,14906,3586,158,8770,4111,109,227,9763,5.522,CE
2020-04-21,16942,15185,3682,158,8777,4113,109,237,9768,5.762,CE
2020-04-22,16980,15191,3683,158,8780,4116,109,239,9768,5.807,CE
