Data,Suspeitos,Em Análise,Inconclusivo,Negativo,Positivo,Municios Afetados,Óbitos,Taxa de letalidade (%),Estado
2020-03-02,430,0,0,2,2,1,0,0.0,CE
2020-03-03,436,0,0,3,2,1,0,0.0,CE
2020-03-04,439,0,0,6,2,1,0,0.0,CE
2020-03-05,440,0,0,6,2,1,0,0.0,CE
2020-03-06,447,0,0,7,2,1,0,0.0,CE
2020-03-07,451,0,0,11,2,1,0,0.0,CE
2020-03-08,452,0,0,13,2,1,0,0.0,CE
2020-03-09,455,0,0,16,2,1,0,0.0,CE
2020-03-10,462,0,0,16,2,1,0,0.0,CE
2020-03-11,466,0,0,32,2,1,0,0.0,CE
2020-03-12,478,0,0,37,2,1,0,0.0,CE
2020-03-13,503,0,0,39,2,1,0,0.0,CE
2020-03-14,518,0,0,59,3,2,0,0.0,CE
2020-03-15,530,0,0,68,3,2,0,0.0,CE
2020-03-16,603,0,0,104,7,3,0,0.0,CE
2020-03-17,660,0,0,164,26,4,0,0.0,CE
2020-03-18,873,0,1,229,30,4,0,0.0,CE
2020-03-19,1022,0,1,338,58,5,0,0.0,CE
2020-03-20,1259,2,1,501,86,6,0,0.0,CE
2020-03-21,1541,4,1,603,119,6,0,0.0,CE
2020-03-22,1836,10,1,711,155,7,0,0.0,CE
2020-03-23,2334,10,1,768,185,7,0,0.0,CE
2020-03-24,2819,10,1,884,223,8,2,0.897,CE
2020-03-25,3153,12,1,1043,254,8,3,1.181,CE
2020-03-26,3399,12,1,1390,313,9,5,1.597,CE
2020-03-27,3906,12,1,1473,354,10,8,2.26,CE
2020-03-28,4153,12,1,1576,379,11,10,2.639,CE
2020-03-29,4365,12,1,1750,413,11,13,3.148,CE
2020-03-30,4937,12,1,1900,434,13,16,3.687,CE
2020-03-31,5456,12,2,2051,467,14,18,3.854,CE
2020-04-01,5940,12,2,2217,529,16,20,3.781,CE
2020-04-02,6547,12,2,2674,663,21,27,4.072,CE
2020-04-03,7075,12,2,2827,764,23,34,4.45,CE
2020-04-04,7309,12,2,2988,840,24,41,4.881,CE
2020-04-05,7561,12,2,3238,1014,32,45,4.438,CE
2020-04-06,8148,12,5,3499,1131,42,54,4.775,CE
2020-04-07,8744,12,5,3763,1288,42,58,4.503,CE
2020-04-08,9422,13,8,3959,1413,45,63,4.459,CE
2020-04-09,9943,13,9,4162,1511,49,67,4.434,CE
2020-04-10,10257,13,9,4465,1597,54,73,4.571,CE
2020-04-11,10257,13,9,4614,1668,56,74,4.436,CE
